,admin1Pcod_1,admin1Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,new cases
271674,NG035,Taraba,2020-12-17,122,53,40,1015083.409598923,269173.3387680277,1666651,4.181413960719829,15.76858971107052,227.68456284153004,694.4379166666666,3.05,20201217,0.4572416308140842,0.515646300036468,0.027112069149447745,0.5130515216955309,3046503.0,-0.3693491920970492,0.21621621621621623,0.0
271675,NG004,Anambra,2020-12-17,1715,723,485,35446243.91789798,8223877.273994718,21649810,10.536248302176524,45.41293782185488,210.3965986394558,743.9797250859107,3.536082474226804,20201217,0.3550563739560004,0.6034760570706295,0.041467568973370096,0.5059823635153309,5936784.0,0.5172892070039768,0.9459459459459459,1.0
271676,NG013,Ekiti,2020-12-17,1421,622,330,25601634.725375265,5221400.871153738,13489505,9.831600255932884,48.20641906827623,158.21610368285246,681.2881313131313,4.306060606060606,20201217,0.36629979561099096,0.5964268380769661,0.037273366312043005,0.5043048153321379,3510952.0,-0.12374139344950484,0.5945945945945946,5.0
272414,NG023,Kogi,2020-12-17,346,146,104,7979933.916597502,1863706.3343511363,4772830,11.13512910534651,47.67789472818585,229.90510597302503,764.8766025641027,3.326923076923077,20201217,0.45037839661721446,0.5217364067083422,0.02788519667444328,0.506811428561977,4836724.0,-0.30831429069378413,0.2972972972972973,0.0
272415,NG032,Plateau,2020-12-17,511,200,129,6273734.732842059,1844883.3101726288,6942848,8.8864910231064,30.21951961803753,226.4464448793216,897.0087855297157,3.9612403100775193,20201217,0.44148344424442243,0.5246600953608579,0.033856460394719665,0.49981152163639675,4350632.0,-0.20435074060739566,0.43243243243243246,80.0
272416,NG015,Federal Capital Territory,2020-12-17,5930,2562,1715,182367357.7594996,45595732.16980894,69621844,16.52004341649466,66.07453207941265,195.67690837549188,676.597123420797,3.457725947521866,20201217,0.3761808011877354,0.6090082893686061,0.014810909443658583,0.5320270119615359,4834747.0,0.06716322463290017,0.7567567567567568,145.0
272417,NG016,Gombe,2020-12-17,161,49,38,2367804.7475173944,508786.5319093217,1610234,8.319612998073515,38.718043656581656,166.69089026915114,706.2429824561403,4.2368421052631575,20201217,0.4747655452041227,0.4988770635927775,0.02635739120309983,0.5284934612057086,3392445.0,-0.25910296259332805,0.32432432432432434,52.0
272418,NG017,Imo,2020-12-17,1961,803,505,44729962.09950989,8082527.204967434,22740163,9.94504864483426,55.03744530396677,193.27012578616356,750.5004290429043,3.883168316831683,20201217,0.36002907241370796,0.5951188700839131,0.044852057502378986,0.5015110336551765,5547527.0,0.5387774131767987,0.972972972972973,0.0
272419,NG027,Niger,2020-12-17,592,249,159,13646143.27143466,2491717.3410442616,6747677,9.737618710208254,53.32905857869702,189.968384009009,707.3036687631028,3.723270440251573,20201217,0.471202827926769,0.5035993963032889,0.025197775769942192,0.5093248027202903,5745269.0,-0.2021904684270313,0.4594594594594595,31.0
272420,NG022,Kebbi,2020-12-17,176,73,50,5183741.432045342,676112.5963218074,2374242,8.402337801263215,64.42055187760158,224.83352272727276,791.414,3.52,20201217,0.4855904279683244,0.48801456343612665,0.026395008595548938,0.5032996532071795,4510474.0,-0.4166000362854463,0.13513513513513514,5.0
