,admin1Pcod_1,admin1Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,new cases
280188,NG029,Ondo,2020-12-28,2014,865,588,50264893.91058322,13189982.94441734,25628942,13.93856365265766,53.11761404235069,212.08988745448525,726.4439342403628,3.425170068027211,20201228,0.37893516274736494,0.5832181604477588,0.03784667680487627,0.5035690220992856,4673409.0,-0.23320407133660132,0.3783783783783784,0.0
280189,NG003,Akwa Ibom,2020-12-28,462,204,147,14279280.233046915,3752851.287681314,6503455,15.863358359972464,60.358730494553456,234.61237373737373,737.3531746031746,3.142857142857143,20201228,0.3714473458477974,0.5933145115115984,0.03523814264060416,0.5077076983792477,5665764.0,0.18670347513092306,0.8918918918918919,2.0
280190,NG028,Ogun,2020-12-28,13469,5920,3718,269637537.3646727,62139883.72235577,151886863,10.385135458324234,45.063205504095045,187.94622590145272,680.8627532723686,3.6226465841850457,20201228,0.3764942420253995,0.5828607691591555,0.040644988815445024,0.4983858197437503,5854055.0,0.11933543982440241,0.8108108108108109,2.0
280191,NG015,Federal Capital Territory,2020-12-28,3962,1868,1333,128242277.1211412,34790615.67732269,58541256,16.217469123847625,59.77948734433164,246.2613831398284,731.9486871717929,2.9722430607651917,20201228,0.3761808011877354,0.6090082893686061,0.014810909443658583,0.5320270119615359,4834747.0,0.06716322463290017,0.7567567567567568,5.0
280192,NG020,Kano,2020-12-28,866,406,279,25296115.456041142,5779568.283800597,12900555,12.871889731621,56.33791189925999,248.27857967667435,770.6424731182796,3.1039426523297493,20201228,0.4727684792901625,0.5011033541407554,0.026128166569082133,0.5280232410357527,13612130.0,0.1241609281772341,0.8378378378378378,5.0
280193,NG019,Kaduna,2020-12-28,1274,554,382,45731493.48381446,8961875.036544578,16797240,14.577620356386664,74.38804353097294,219.74411302982733,732.8638743455498,3.335078534031413,20201228,0.46503701110532975,0.5075057258770135,0.027457263017656792,0.506968163107597,8758047.0,-0.1703334579739599,0.5135135135135135,48.0
280194,NG016,Gombe,2020-12-28,162,60,47,4590557.269953265,1379688.988002278,2273078,18.24040407216375,60.69021369924726,233.8557613168724,806.0560283687943,3.4468085106382977,20201228,0.4747655452041227,0.4988770635927775,0.02635739120309983,0.5284934612057086,3392445.0,-0.25910296259332805,0.32432432432432434,0.0
280195,NG025,Lagos,2020-12-28,30504,14298,9497,578982176.9191629,148228246.73201436,397816830,9.698300768150096,37.88173586989863,217.3577399685287,698.1447299147098,3.211961672106981,20201228,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,1.1187153694407612,1.0,144.0
280196,NG021,Katsina,2020-12-28,209,87,74,11081461.828695634,2121554.641503972,3069724,17.814499148486117,93.05001551660963,244.7945773524721,691.3792792792793,2.824324324324324,20201228,0.48655803853244695,0.4881893734794351,0.02525258798811795,0.509826765221673,8050462.0,-0.4045410794272394,0.16216216216216217,0.0
280197,NG014,Enugu,2020-12-28,1202,529,399,52921491.10968346,12149453.489583105,18398192,18.92060250590048,82.41576447569294,255.1052689961176,768.5126148705097,3.012531328320802,20201228,0.3548333037798759,0.5979631440077704,0.04720355221235371,0.48606967776766996,4415727.0,0.11263773985257676,0.7837837837837838,0.0
280198,NG013,Ekiti,2020-12-28,1120,518,311,24500891.97571846,6004316.289389678,14214842,11.996492512244725,48.95224584511353,211.5303869047619,761.7814576634513,3.6012861736334405,20201228,0.36629979561099096,0.5964268380769661,0.037273366312043005,0.5043048153321379,3510952.0,-0.12374139344950484,0.5945945945945946,0.0
280199,NG034,Sokoto,2020-12-28,155,73,54,2067840.606440274,492415.9980386714,2403709,5.666168810704184,23.79438116630676,258.4633333333333,741.8854938271604,2.8703703703703702,20201228,0.476871893107996,0.4955998750778277,0.02752823181417628,0.505624481563039,5027130.0,-0.3255636908120886,0.2702702702702703,7.0
280200,NG037,Zamfara,2020-12-28,95,33,27,8548221.40324601,1293265.9155527102,1521322,29.7628956972924,196.726612031247,266.89859649122803,939.0876543209876,3.5185185185185186,20201228,0.4822951286895683,0.49170011989092705,0.026004751419504635,0.5030233221454106,4568319.0,-0.4763162522559063,0.10810810810810811,1.0
280201,NG001,Abia,2020-12-28,823,389,282,46491864.98314788,9714203.17499559,12072043,21.40470215774009,102.442218347219,244.47231672742,713.4777186761229,2.918439716312057,20201228,0.3534586567540875,0.5993948920037422,0.0471464512421703,0.5005799209430734,3878977.0,0.40455051037529577,0.918918918918919,0.0
280202,NG010,Delta,2020-12-28,6124,2607,1696,144025009.00238818,30960088.577750668,74488193,11.342987707152355,52.767094077716216,202.7220580230786,731.9987519654088,3.6108490566037736,20201228,0.37205747147343576,0.5865213978831537,0.041421130643410485,0.5024198117756394,5827726.0,0.04986988030496243,0.7297297297297297,0.0
280203,NG017,Imo,2020-12-28,2166,906,637,103902635.09243362,17769566.560141023,28887560,17.333589888564347,101.35338185869097,222.28039396737455,755.8231292517007,3.400313971742543,20201228,0.36002907241370796,0.5951188700839131,0.044852057502378986,0.5015110336551765,5547527.0,0.5387774131767987,0.972972972972973,0.0
280204,NG009,Cross River,2020-12-28,342,144,110,8064845.524042998,1686759.3935521676,4541930,9.52821541262757,45.5569334407684,221.3416179337232,688.1712121212121,3.109090909090909,20201228,0.3831984467942394,0.5834763463285051,0.03332520687725556,0.5092349804775577,3958265.0,-0.18777845359495773,0.4864864864864865,0.0
