,admin1Pcod_1,admin1Name_1,admin2Pcod_1,admin2Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,minutes/trip,trip_miles/person,miles/person,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
7151,ZA5,KwaZulu-Natal,ZA595,eThekwini,2020-05-15,22090,11244,7214,856492189.5850308,276180162.09443897,151793151,114.52629470348576,23.78852184542857,73.77315954871295,350.6911352924869,3.0621014693651234,20200515,0.2446364969883556,0.6990922562931536,0.05627124671849075,0.494610924976595,3587907.0,0.5666580406654343,0.9230769230769231,1,1,4,0,0,0,0,1,0
7152,ZA4,Free State,ZA419,Thabo Mofutsanyane,2020-05-15,2504,1181,674,154720374.0123714,42710919.99544285,15249219,101.49906150159744,39.37586836664942,142.6391443078241,377.0825667655786,3.71513353115727,20200515,0.31143326559338835,0.6251823622683981,0.06338437213821363,0.47028720831466336,662829.0,0.10770218579234972,0.7115384615384616,1,1,4,0,0,0,0,1,0
7153,ZA1,Western Cape,ZA191,City of Cape Town,2020-05-15,51368,26548,17583,2007213353.1611552,746487634.039013,361113808,117.16561802419146,26.380362347338234,70.93354685369071,342.29445866272346,2.921458226696241,20200515,0.23849582985172932,0.697186217784503,0.06431795236376775,0.4976008771049945,4436413.0,0.7687640750670242,0.9807692307692307,1,1,4,0,0,0,0,1,0
7154,ZA2,Eastern Cape,ZA293,Nelson Mandela Bay,2020-05-15,8614,4169,2658,447167568.731956,170580405.74574742,60898252,117.8280551040941,39.877257370415066,104.53613442921198,381.8551040882869,3.240782543265613,20200515,0.2465186661259611,0.6842154879637478,0.0692658459102911,0.4877654529777138,1230491.0,0.5740514018691588,0.9423076923076923,1,1,4,0,0,0,0,1,0
7155,ZA5,KwaZulu-Natal,ZA529,iLembe,2020-05-15,2016,1068,689,65217376.26275549,19960857.485132437,10992337,90.87580191798942,18.001599148935053,58.81596348763306,265.9007498790518,2.925979680696662,20200515,0.32390440311621094,0.6202867780885334,0.05580881879525565,0.4827645772056803,636799.0,-0.14951617873651774,0.28846153846153844,1,1,4,0,0,0,0,1,0
7156,ZA2,Eastern Cape,ZA292,Buffalo City,2020-05-15,4218,2023,1206,209241525.1362165,64392129.44289194,24874079,98.28543938675516,33.17696040019113,107.80817242077023,343.75454671089,3.497512437810945,20200515,0.254980022080858,0.6758306608485358,0.06918931707060617,0.48177934914042375,760840.0,0.09585175879396986,0.6923076923076923,1,1,4,0,0,0,0,1,0
7157,ZA1,Western Cape,ZA103,Overberg,2020-05-15,2483,1295,754,121634378.088615,32124143.50291934,14433659,96.8831990871258,26.47349780903474,100.23885746680284,319.0463969938108,3.293103448275862,20200515,0.22836513904770692,0.6721314716747349,0.09950338927755827,0.511077351980676,303457.0,0.051486772486772484,0.5961538461538461,1,1,4,0,0,0,0,1,0
7158,ZA7,Gauteng,ZA797,Ekurhuleni,2020-05-15,34449,18588,12543,1384980933.1531606,405994434.64817786,182466119,88.27838205269626,20.112672079969755,68.61095859518095,242.4541165058864,2.7464721358526667,20200515,0.23296733680905687,0.7203157619169479,0.04671690127399521,0.5205474946472306,3739653.0,0.7435109289617486,0.9615384615384616,1,1,4,0,0,0,0,1,0
7159,ZA1,Western Cape,ZA102,Cape Winelands,2020-05-15,6141,3238,2121,273964344.90514493,74643225.10671508,33790982,91.70868479617867,21.86758593917928,80.26098615003775,265.5271255696998,2.8953323903818955,20200515,0.24989252608235304,0.6902123420738123,0.059895131843834624,0.5011121214086944,909523.0,-0.012388831437435367,0.5192307692307693,1,1,4,0,0,0,0,1,0
7160,ZA2,Eastern Cape,ZA214,Joe Gqabi,2020-05-15,618,294,182,41737403.9095519,9786419.475431953,3426326,92.40361380798274,33.41208317133965,142.4968155393925,313.7661172161172,3.3956043956043955,20200515,0.3340471849013029,0.5799636495391386,0.08598916555955849,0.47733103958194023,339473.0,-0.1839776119402985,0.21153846153846154,1,1,4,0,0,0,0,1,0
7161,ZA4,Free State,ZA494,Mangaung,2020-05-15,5605,2536,1607,272252300.88956225,76685204.44276913,27889575,82.9306422836753,29.651510212549564,105.27052694032648,289.25093341630367,3.487865588052271,20200515,0.26262942751272955,0.6754982029249197,0.06187236956235082,0.4901411892511804,826621.0,0.27329104477611943,0.8269230769230769,1,1,4,0,0,0,0,1,0
7162,ZA1,Western Cape,ZA101,West Coast,2020-05-15,2803,1474,918,130978041.1894451,35774175.524620816,17079022,101.55203948150792,24.21464280723452,88.65575338866681,310.0766521423384,3.053376906318083,20200515,0.24466466325617858,0.6852166396976793,0.0701186970461421,0.5060695297345649,497485.0,-0.12079976303317536,0.34615384615384615,1,1,4,0,0,0,0,1,0
7163,ZA4,Free State,ZA416,Xhariep,2020-05-15,426,211,140,30067256.2931715,8972072.650905827,2378334,93.04906103286385,39.821339142380936,133.4494777870961,283.135,3.0428571428571427,20200515,0.29515218562959183,0.6325513667867511,0.07229644758365718,0.5005153225730198,105759.0,0.18671264367816093,0.7692307692307693,1,1,4,0,0,0,0,1,0
7164,ZA6,North West,ZA637,Bojanala,2020-05-15,5380,2693,1734,258800237.84518465,72429174.3591983,32516041,100.73122986369268,25.954672678397223,92.73991484496425,312.53403498654365,3.1026528258362167,20200515,0.25082919250139085,0.6903465537718604,0.05882425372674875,0.5380589003726469,1786678.0,0.07430676328502415,0.6538461538461539,1,1,4,0,0,0,0,1,0
