,admin1Pcod_1,admin1Name_1,admin2Pcod_1,admin2Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,minutes/trip,trip_miles/person,miles/person,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
6727,ZA2,Eastern Cape,ZA213,Chris Hani,2020-05-07,1005,478,306,101901769.5085568,23666120.011054527,7878719,130.65868988391375,48.0570104800679,206.92426147263384,429.124128540305,3.284313725490196,20200507,0.334940582305372,0.572656560540376,0.09240285715425203,0.478383232498069,752217.0,-0.29251697892271666,0.057692307692307696,1,1,4,0,0,0,0,1,0
6728,ZA3,Nothern Cape,ZA307,Pixley ka Seme,2020-05-07,772,387,239,93800979.41048396,27888702.248155475,4598953,99.2865500863558,72.50726429242,243.87124020636836,320.70801952580194,3.2301255230125525,20200507,0.3060749448635213,0.6232332132979509,0.0706918418385278,0.5011842246002923,196331.0,0.1854655172413793,0.75,1,1,4,0,0,0,0,1,0
6729,ZA2,Eastern Cape,ZA244,Alfred Nzo,2020-05-07,255,128,87,19998272.078383736,6713593.689462015,2718112,177.65437908496733,47.94981281629947,142.8316110808263,520.7111111111111,2.931034482758621,20200507,0.40782127157510134,0.5221222097470932,0.07005651867780548,0.4576553946475353,788235.0,-0.27396673320026615,0.11538461538461539,1,1,4,0,0,0,0,1,0
6730,ZA6,North West,ZA640,Dr Kenneth Kaunda,2020-05-07,4722,2293,1385,230913318.04804787,61529262.90876623,23559585,83.15538966539603,27.604701408739672,103.59774999205356,283.508844765343,3.409386281588448,20200507,0.27505895171327793,0.6602340041700301,0.06470704411669191,0.5065976875287468,754431.0,-0.10069384057971015,0.38461538461538464,1,1,4,0,0,0,0,1,0
6731,ZA7,Gauteng,ZA742,Sedibeng,2020-05-07,6381,3492,2292,297649594.0977226,94213705.73256484,37667424,98.38432847516064,25.541746359572933,80.69410259749581,273.9050610820244,2.784031413612565,20200507,0.24393339879416723,0.6953819961266214,0.06068460507921129,0.5059130831550246,994997.0,0.2808379746835443,0.8461538461538461,1,1,4,0,0,0,0,1,0
6732,ZA9,Limpopo,ZA935,Capricorn,2020-05-07,3141,1572,1071,287414654.3242756,109240562.50461616,39708697,210.7009285790088,63.37902760426737,166.75180805224682,617.9380174291939,2.9327731092436973,20200507,0.3265897738288558,0.6007690312860821,0.07264119488506209,0.472231826966417,1295656.0,0.07397387387387387,0.6346153846153846,1,1,4,0,0,0,0,1,0
6733,ZA9,Limpopo,ZA936,Waterberg,2020-05-07,3233,1557,958,208036922.4289118,52945257.95633369,16980156,87.53560160841324,34.340979185428246,134.9354389551552,295.40981210855955,3.374739039665971,20200507,0.2870915348782833,0.6477210572390478,0.06518740788266879,0.5138960603357211,718513.0,0.00236898395721925,0.5576923076923077,1,1,4,0,0,0,0,1,0
6734,ZA9,Limpopo,ZA933,Mopani,2020-05-07,2482,1157,742,109352839.73178944,31809867.93405709,16591470,111.41196615632552,26.638457632206457,91.57507331358504,372.6745283018868,3.3450134770889486,20200507,0.3329418650827259,0.6026296126910996,0.06442852222617454,0.46142626187343905,1062666.0,-0.037928345626975765,0.4807692307692308,1,1,4,0,0,0,0,1,0
6735,ZA5,KwaZulu-Natal,ZA523,Uthukela,2020-05-07,959,458,303,50290915.49190289,15409080.009329306,8693305,151.08281195689955,31.599862761311616,103.13308949805511,478.179592959296,3.165016501650165,20200507,0.36014331224838336,0.5864396074090654,0.05341708034255123,0.46782833191779016,652282.0,-0.19841226215644822,0.19230769230769232,1,1,4,0,0,0,0,1,0
6736,ZA2,Eastern Cape,ZA210,Cacadu,2020-05-07,2322,1165,714,146735228.6999167,46622744.06966151,13912078,99.85700545506748,40.57427180383986,127.69894117715,324.7450513538749,3.2521008403361344,20200507,0.2618455236218228,0.6571170870354837,0.08103738934269357,0.4975242081945451,491156.0,-0.01848062015503876,0.5,1,1,4,0,0,0,0,1,0
