,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
60382,ZA5,KwaZulu-Natal,ZA5,KwaZulu-Natal,2020-08-03,2020-08-05,12,12,12,2629055.931299065,911520.3091393064,1945710,47.1993717698695,136.13496820749452,2702.375,2702.375,1.0,20200803,20200805,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,0.07735186107982292,0.5555555555555556,2061.0,1812.0,1,1,3,0,0,0,1,0,0
60383,ZA5,KwaZulu-Natal,ZA1,Western Cape,2020-08-03,2020-08-05,1,1,1,1334517.418974564,1334517.418974564,239417,829.2306796897145,829.2306796897145,3990.283333333333,3990.283333333333,1.0,20200803,20200805,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.07735186107982292,0.5555555555555556,0.48495156727992644,0.8888888888888888,2061.0,770.0,1,1,3,0,0,0,1,0,0
60384,ZA2,Eastern Cape,ZA1,Western Cape,2020-08-03,2020-08-03,33,33,33,30692494.60990404,13804325.15382903,677360,259.9275751171686,577.922180863455,342.1010101010101,342.1010101010101,1.0,20200803,20200803,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,-0.04666754827373582,0.2222222222222222,0.48495156727992644,0.8888888888888888,264.0,238.0,1,1,3,0,0,0,1,0,0
60385,ZA4,Free State,ZA2,Eastern Cape,2020-08-03,2020-08-23,1,1,1,375216.0763848399,315116.2718678864,1753698,195.8041735439324,233.1484607298625,29228.3,29228.3,1.0,20200803,20200823,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.2248492570676798,0.7777777777777778,-0.04666754827373582,0.2222222222222222,606.0,164.0,1,1,3,0,0,0,1,0,0
60386,ZA1,Western Cape,ZA7,Gauteng,2020-08-03,2020-08-03,42,42,41,87894380.28426154,51929374.714382015,830394,787.0101824003614,1332.0740455656885,329.52142857142854,337.55853658536586,1.024390243902439,20200803,20200803,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.48495156727992644,0.8888888888888888,0.6706237180439658,1.0,238.0,1414.0,1,1,3,0,0,0,1,0,0
60387,ZA6,North West,ZA1,Western Cape,2020-08-03,2020-08-03,4,4,4,7144856.350199465,4633328.350836059,113866,719.7541903465105,1109.901977171982,474.44166666666666,474.44166666666666,1.0,20200803,20200803,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,-0.04677388157695324,0.1111111111111111,0.48495156727992644,0.8888888888888888,188.0,238.0,1,1,3,0,0,0,1,0,0
60388,ZA7,Gauteng,ZA9,Limpopo,2020-08-03,2020-08-18,1,1,1,308285.29892297904,307125.85864773724,1319193,190.83916095485935,191.5596037410144,21986.55,21986.55,1.0,20200803,20200818,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.6706237180439658,1.0,-0.020299216875639643,0.3333333333333333,1414.0,56.0,1,1,3,0,0,0,1,0,0
60389,ZA7,Gauteng,ZA2,Eastern Cape,2020-08-03,2020-08-03,16,16,15,25992874.70183942,13046029.290962776,384277,540.4284516325814,1076.7482362105063,400.2885416666667,426.9744444444444,1.0666666666666669,20200803,20200803,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.6706237180439658,1.0,-0.04666754827373582,0.2222222222222222,1414.0,264.0,1,1,3,0,0,0,1,0,0
60390,ZA8,Mpumalanga,ZA8,Mpumalanga,2020-08-03,2020-08-04,1308,1308,1308,44865023.58395628,13379934.316935424,47451494,6.3561970478374485,21.31332813006041,604.6316768603466,604.6316768603466,1.0,20200803,20200804,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,275.0,321.0,1,1,3,0,0,0,1,0,0
60391,ZA7,Gauteng,ZA3,Nothern Cape,2020-08-03,2020-08-03,16,16,16,21449607.28676191,9394538.849960389,369700,364.8434878574898,833.0105032998658,385.1041666666667,385.1041666666667,1.0,20200803,20200803,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.6706237180439658,1.0,0.09958456723393624,0.6666666666666666,1414.0,171.0,1,1,3,0,0,0,1,0,0
60392,ZA9,Limpopo,ZA8,Mpumalanga,2020-08-03,2020-08-04,16,16,16,2880143.1100738943,976392.6402606744,555988,37.918891185658346,111.8523723825474,579.1541666666667,579.1541666666667,1.0,20200803,20200804,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,-0.020299216875639643,0.3333333333333333,0.0523010419666447,0.4444444444444444,160.0,321.0,1,1,3,0,0,0,1,0,0
60393,ZA3,Nothern Cape,ZA7,Gauteng,2020-08-03,2020-08-03,15,14,14,17302175.512310173,8186823.696395471,327982,363.3611714904365,767.9338161702698,364.4244444444445,390.4547619047619,1.0714285714285714,20200803,20200803,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.09958456723393624,0.6666666666666666,0.6706237180439658,1.0,171.0,1414.0,1,1,3,0,0,0,1,0,0
60394,ZA2,Eastern Cape,ZA5,KwaZulu-Natal,2020-08-03,2020-08-03,55,51,47,18661377.84610568,8912123.687923718,693335,117.82418981556908,246.715800021831,210.1015151515152,245.863475177305,1.1702127659574468,20200803,20200803,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,-0.04666754827373582,0.2222222222222222,0.07735186107982292,0.5555555555555556,264.0,2061.0,1,1,3,0,0,0,1,0,0
60395,ZA1,Western Cape,ZA3,Nothern Cape,2020-08-03,2020-08-03,18,18,18,24047940.50883368,10898011.484267864,539553,376.20613272198216,830.1498591570256,499.5861111111111,499.5861111111111,1.0,20200803,20200803,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.48495156727992644,0.8888888888888888,0.09958456723393624,0.6666666666666666,238.0,171.0,1,1,3,0,0,0,1,0,0
60396,ZA4,Free State,ZA4,Free State,2020-08-03,2020-08-03,16694,7742,4734,762171207.1088859,171040906.37207067,63915480,22.45033627244777,100.04039536337484,63.81083023840901,225.0228136882129,3.5264047317279257,20200803,20200803,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,0.2248492570676798,0.7777777777777778,606.0,606.0,1,1,3,0,0,0,1,0,0
60397,ZA5,KwaZulu-Natal,,,2020-08-03,2020-08-03,16,16,15,305782.87765158305,137056.47439780645,66215,5.677529660027376,12.666978083475133,68.97395833333333,73.57222222222222,1.0666666666666669,20200803,20200803,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,,,,,,0.07735186107982292,0.5555555555555556,,,2061.0,,1,1,3,0,0,0,1,0,0
60398,ZA4,Free State,ZA7,Gauteng,2020-08-03,2020-08-03,426,415,396,72164970.64840221,29687325.30905129,3156845,46.582951317229245,113.2354390140654,123.50723787167448,132.8638468013468,1.0757575757575757,20200803,20200803,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2248492570676798,0.7777777777777778,0.6706237180439658,1.0,606.0,1414.0,1,1,3,0,0,0,1,0,0
60399,ZA4,Free State,ZA5,KwaZulu-Natal,2020-08-03,2020-08-03,26,26,26,18052719.27232099,6913402.623348538,451757,165.2226627110305,431.4399883603073,289.5878205128205,289.5878205128205,1.0,20200803,20200803,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.2248492570676798,0.7777777777777778,0.07735186107982292,0.5555555555555556,606.0,2061.0,1,1,3,0,0,0,1,0,0
60400,ZA7,Gauteng,ZA9,Limpopo,2020-08-03,2020-08-03,152,152,149,77491837.97687969,36321621.6591347,2557185,151.4712037203349,323.162387599705,280.3930921052632,286.0385906040268,1.0201342281879195,20200803,20200803,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.6706237180439658,1.0,-0.020299216875639643,0.3333333333333333,1414.0,160.0,1,1,3,0,0,0,1,0,0
60401,ZA7,Gauteng,ZA7,Gauteng,2020-08-03,2020-08-04,9410,9410,9410,210259178.3010412,71806891.38202985,317359114,4.741629512105061,13.88405911793413,562.0954906128233,562.0954906128233,1.0,20200803,20200804,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,0.6706237180439658,1.0,1414.0,1144.0,1,1,3,0,0,0,1,0,0
60402,ZA2,Eastern Cape,ZA3,Nothern Cape,2020-08-03,2020-08-03,3,3,3,2238957.713857385,714673.52693287,55334,148.02584716357927,463.7412746761796,307.41111111111115,307.41111111111115,1.0,20200803,20200803,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,-0.04666754827373582,0.2222222222222222,0.09958456723393624,0.6666666666666666,264.0,171.0,1,1,3,0,0,0,1,0,0
60403,ZA2,Eastern Cape,ZA7,Gauteng,2020-08-03,2020-08-03,19,19,17,27265808.421533108,16074789.118368236,488885,587.5535811437761,996.5992874236922,428.8464912280702,479.2990196078432,1.1176470588235294,20200803,20200803,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.04666754827373582,0.2222222222222222,0.6706237180439658,1.0,264.0,1414.0,1,1,3,0,0,0,1,0,0
60404,ZA2,Eastern Cape,ZA5,KwaZulu-Natal,2020-08-03,2020-08-04,10,10,10,4335741.113450883,1645982.4452526297,406730,102.27660744083488,269.4104624897401,677.8833333333333,677.8833333333333,1.0,20200803,20200804,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,-0.04666754827373582,0.2222222222222222,0.07735186107982292,0.5555555555555556,264.0,1625.0,1,1,3,0,0,0,1,0,0
60405,ZA7,Gauteng,ZA8,Mpumalanga,2020-08-03,2020-08-04,35,35,35,9017439.398401078,3717637.363945844,1431500,66.00093603260252,160.09077342606813,681.6666666666666,681.6666666666666,1.0,20200803,20200804,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.6706237180439658,1.0,0.0523010419666447,0.4444444444444444,1414.0,321.0,1,1,3,0,0,0,1,0,0
60406,ZA8,Mpumalanga,ZA9,Limpopo,2020-08-03,2020-08-04,11,11,11,2856358.6283409186,662251.241615888,543243,37.40944032395628,161.35081512269022,823.0954545454546,823.0954545454546,1.0,20200803,20200804,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.0523010419666447,0.4444444444444444,-0.020299216875639643,0.3333333333333333,275.0,185.0,1,1,3,0,0,0,1,0,0
60407,ZA6,North West,ZA8,Mpumalanga,2020-08-03,2020-08-03,8,8,8,5516434.515074739,1803120.9248163055,103529,140.05092485014902,428.4691864413962,215.68541666666667,215.68541666666667,1.0,20200803,20200803,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,-0.04677388157695324,0.1111111111111111,0.0523010419666447,0.4444444444444444,188.0,275.0,1,1,3,0,0,0,1,0,0
60408,ZA8,Mpumalanga,ZA8,Mpumalanga,2020-08-03,2020-08-03,20393,9325,5857,1102665196.7902937,224688036.0168076,83529987,23.83723285320621,116.98213897356996,68.26687834060706,237.6927522622503,3.4818166296738946,20200803,20200803,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,275.0,275.0,1,1,3,0,0,0,1,0,0
60409,ZA6,North West,ZA9,Limpopo,2020-08-03,2020-08-03,39,38,37,9870802.489225123,3874686.388396241,517549,65.07077028928492,165.76844083970428,221.17478632478637,233.13018018018016,1.054054054054054,20200803,20200803,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.04677388157695324,0.1111111111111111,-0.020299216875639643,0.3333333333333333,188.0,160.0,1,1,3,0,0,0,1,0,0
60410,ZA7,Gauteng,ZA1,Western Cape,2020-08-03,2020-08-03,46,46,45,98987239.39887977,57445317.82765477,1115892,793.2192361560537,1366.840421368096,404.3086956521739,413.2933333333333,1.022222222222222,20200803,20200803,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.6706237180439658,1.0,0.48495156727992644,0.8888888888888888,1414.0,238.0,1,1,3,0,0,0,1,0,0
