,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
6322,ZA8,Mpumalanga,ZA4,Free State,2020-01-14,2020-01-14,18,18,18,8151847.683772977,2863793.4451839104,164311,98.85993040863268,281.40685078906466,152.1398148148148,152.1398148148148,1.0,20200114,20200114,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.0523010419666447,0.4444444444444444,0.2248492570676798,0.7777777777777778,,,0,0,0,1,0,0,0,0,0
6323,ZA8,Mpumalanga,ZA8,Mpumalanga,2020-01-14,2020-01-19,2,2,2,530086.5257972857,103741.37800484303,885374,32.23095186760663,164.69024826180285,7378.116666666667,7378.116666666667,1.0,20200114,20200119,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,,,0,0,0,1,0,0,0,0,0
6324,ZA9,Limpopo,ZA7,Gauteng,2020-01-14,2020-01-18,1,1,1,543332.7048530388,258440.77940460356,383603,160.58765522138432,337.61129059606816,6393.383333333333,6393.383333333333,1.0,20200114,20200118,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.020299216875639643,0.3333333333333333,0.6706237180439658,1.0,,,0,0,0,1,0,0,0,0,0
6325,ZA3,Nothern Cape,ZA3,Nothern Cape,2020-01-14,2020-01-14,9339,3961,1862,716514838.6992017,104581638.35420056,24393508,34.90011670799318,239.10938752860585,43.53340471856373,218.34504117436447,5.015574650912996,20200114,20200114,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,0.09958456723393624,0.6666666666666666,,,0,0,0,1,0,0,0,0,0
6326,ZA8,Mpumalanga,ZA7,Gauteng,2020-01-14,2020-01-16,5,5,5,1807060.535756284,1254134.3081631572,740009,155.856586057817,224.5710719095835,2466.6966666666663,2466.6966666666663,1.0,20200114,20200116,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.0523010419666447,0.4444444444444444,0.6706237180439658,1.0,,,0,0,0,1,0,0,0,0,0
6327,ZA9,Limpopo,ZA9,Limpopo,2020-01-14,2020-01-14,22991,9157,4856,1902958223.818588,283669912.57532024,64379411,36.29825201375351,243.50152807083924,46.67000927899323,220.96173462383305,4.734555189456343,20200114,20200114,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,-0.020299216875639643,0.3333333333333333,,,0,0,0,1,0,0,0,0,0
6328,ZA3,Nothern Cape,ZA7,Gauteng,2020-01-14,2020-01-14,22,22,22,38632031.35443358,14241728.046750251,475962,402.2454334513219,1091.12869914793,360.5772727272727,360.5772727272727,1.0,20200114,20200114,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.09958456723393624,0.6666666666666666,0.6706237180439658,1.0,,,0,0,0,1,0,0,0,0,0
6329,ZA1,Western Cape,ZA8,Mpumalanga,2020-01-14,2020-01-17,1,1,1,4416686.153542146,1567272.1306998343,244991,973.8577524133028,2744.401540964608,4083.183333333333,4083.183333333333,1.0,20200114,20200117,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.48495156727992644,0.8888888888888888,0.0523010419666447,0.4444444444444444,,,0,0,0,1,0,0,0,0,0
6330,ZA9,Limpopo,ZA9,Limpopo,2020-01-14,2020-01-15,757,757,755,37823134.62214355,8393472.419655232,30648784,6.907896641605763,31.1287500057146,674.7860854249229,676.5735982339955,1.0026490066225169,20200114,20200115,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,-0.020299216875639643,0.3333333333333333,,,0,0,0,1,0,0,0,0,0
6331,ZA6,North West,ZA6,North West,2020-01-14,2020-01-14,26134,10736,5455,1789181746.8105168,243232360.14130977,61397432,27.70624777483157,203.80311551694348,39.15552664472845,187.587632141766,4.79083409715857,20200114,20200114,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,-0.04677388157695324,0.1111111111111111,,,0,0,0,1,0,0,0,0,0
