,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
51507,ZA7,Gauteng,ZA7,Gauteng,2020-07-05,2020-07-07,6,6,6,2956643.6036455864,1063496.688704088,844032,20200705,20200707,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,0.6706237180439658,1.0,4031.0,4597.0,1,1,3,0,0,0,1,0,0
51508,ZA9,Limpopo,ZA9,Limpopo,2020-07-05,2020-07-07,4,4,4,1002210.541889632,337840.50157822284,549958,20200705,20200707,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,-0.020299216875639643,0.3333333333333333,147.0,165.0,1,1,3,0,0,0,1,0,0
51510,ZA3,Nothern Cape,ZA7,Gauteng,2020-07-05,2020-07-05,25,25,25,27796800.42933462,15091492.943830095,655718,20200705,20200705,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.09958456723393624,0.6666666666666666,0.6706237180439658,1.0,48.0,4031.0,1,1,3,0,0,0,1,0,0
51511,ZA4,Free State,ZA6,North West,2020-07-05,2020-07-06,8,8,8,1959269.1065675372,955190.311676184,350962,20200705,20200706,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2248492570676798,0.7777777777777778,-0.04677388157695324,0.1111111111111111,177.0,347.0,1,1,3,0,0,0,1,0,0
51512,ZA8,Mpumalanga,ZA6,North West,2020-07-05,2020-07-05,9,9,9,3933206.002311854,2028479.3330670344,109220,20200705,20200705,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.0523010419666447,0.4444444444444444,-0.04677388157695324,0.1111111111111111,147.0,419.0,1,1,3,0,0,0,1,0,0
51514,ZA5,KwaZulu-Natal,ZA2,Eastern Cape,2020-07-05,2020-07-05,21,21,21,13590143.843721628,5464256.934320004,438672,20200705,20200705,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.07735186107982292,0.5555555555555556,-0.04666754827373582,0.2222222222222222,1162.0,1487.0,1,1,3,0,0,0,1,0,0
51515,ZA8,Mpumalanga,ZA8,Mpumalanga,2020-07-05,2020-07-07,4,4,4,1521678.7757522257,846494.6318245033,676895,20200705,20200707,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,147.0,180.0,1,1,3,0,0,0,1,0,0
51516,ZA7,Gauteng,ZA3,Nothern Cape,2020-07-05,2020-07-05,13,13,13,17402980.757037826,7836342.710671673,414173,20200705,20200705,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.6706237180439658,1.0,0.09958456723393624,0.6666666666666666,4031.0,48.0,1,1,3,0,0,0,1,0,0
51517,ZA7,Gauteng,ZA9,Limpopo,2020-07-05,2020-07-05,124,123,121,67387843.58279194,29702928.140703067,2005499,20200705,20200705,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.6706237180439658,1.0,-0.020299216875639643,0.3333333333333333,4031.0,147.0,1,1,3,0,0,0,1,0,0
51518,ZA1,Western Cape,ZA1,Western Cape,2020-07-05,2020-07-31,1,1,1,507119.6225486225,363248.4398096898,2225735,20200705,20200731,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,1155.0,783.0,1,1,3,0,0,0,1,0,0
