,admin1Pcod_1,admin1Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,new cases,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
500,ZA8,Mpumalanga,2020-02-20,35377,14307,7829,2904417194.14668,539493228.9112821,148065601,42.818437968140536,230.5174574890196,69.75605666581866,315.207563758675,4.518712479243837,20200220,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,,0,0,0,1,0,0,0,0,0
501,ZA4,Free State,2020-02-20,30865,12975,6800,2515462100.7350807,491994849.4811368,111682335,44.95756267598847,229.85818890611557,60.30689292078406,273.7312132352941,4.538970588235294,20200220,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,,0,0,0,1,0,0,0,0,0
502,ZA6,North West,2020-02-20,31471,13528,6982,2492020397.6835675,450780929.21679366,121846346,40.1177719027918,221.78024714815143,64.52837321131624,290.8582688818868,4.507447722715554,20200220,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,,0,0,0,1,0,0,0,0,0
503,ZA1,Western Cape,2020-02-20,195954,77486,41745,16334890624.179865,2633016031.117971,676935795,39.19224602792638,243.14362108547348,57.57608035559365,270.2662175110792,4.69407114624506,20200220,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,,0,0,0,1,0,0,0,0,0
504,ZA2,Eastern Cape,2020-02-20,42417,16905,8935,3494813386.123355,616951584.743547,175193312,42.90497389645331,243.04156243788057,68.83769557803083,326.792225331095,4.747285954113039,20200220,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,,0,0,0,1,0,0,0,0,0
506,ZA5,KwaZulu-Natal,2020-02-20,85883,34179,18880,8571023684.013147,1553082267.5992064,360606049,51.11443751381256,282.08618671767346,69.98009870016962,318.3316110522599,4.548887711864407,20200220,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,,0,0,0,1,0,0,0,0,0
507,ZA3,Nothern Cape,2020-02-20,9726,4063,2130,1198036699.2001646,181436605.94477555,50503610,52.9293334044134,349.4955362094303,86.5439886215642,395.176917057903,4.566197183098591,20200220,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,,0,0,0,1,0,0,0,0,0
508,ZA7,Gauteng,2020-02-20,372452,146731,80984,25486218759.151985,5317035752.842642,1260175287,40.796365268600745,195.54976459542343,56.390948229570526,259.346555492443,4.599081300009878,20200220,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,,0,0,0,1,0,0,0,0,0
509,ZA9,Limpopo,2020-02-20,26081,10424,5588,2738280993.257272,434248582.1639187,120154512,48.28732269623587,304.489786231407,76.78291476553814,358.37065139584826,4.667322834645669,20200220,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,,0,0,0,1,0,0,0,0,0
