,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown
59713,ZA1,Western Cape,ZA1,Western Cape,2021-09-12,2021-09-16,1,1,1,215907.12131919595,107954.83286788515,348760,20210912,20210916,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,721.0,906.0,1,1,1
59714,ZA5,KwaZulu-Natal,ZA8,Mpumalanga,2021-09-12,2021-09-13,3,3,3,3059934.0758524025,1559491.6774088135,284556,20210912,20210913,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.07735186107982292,0.5555555555555556,0.0523010419666447,0.4444444444444444,1106.0,182.0,1,1,1
59715,ZA7,Gauteng,ZA7,Gauteng,2021-09-12,2021-09-12,10945,7154,6185,252469475.6581153,97257485.5405852,169559308,20210912,20210912,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,0.6706237180439658,1.0,317.0,317.0,1,1,1
59716,ZA3,Nothern Cape,ZA3,Nothern Cape,2021-09-12,2021-09-13,275,275,275,8925798.209096126,3685681.3428052794,11915249,20210912,20210913,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,0.09958456723393624,0.6666666666666666,363.0,229.0,1,1,1
59718,ZA5,KwaZulu-Natal,ZA4,Free State,2021-09-12,2021-09-20,1,1,1,80705.0240713795,80566.87018769054,664863,20210912,20210920,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.07735186107982292,0.5555555555555556,0.2248492570676798,0.7777777777777778,1106.0,223.0,1,1,1
59719,ZA4,Free State,,,2021-09-12,2021-09-12,1,1,1,653672.7343497167,326836.36717485834,40799,20210912,20210912,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,,,,,,0.2248492570676798,0.7777777777777778,,,328.0,,1,1,1
59720,ZA7,Gauteng,ZA8,Mpumalanga,2021-09-12,2021-09-13,7,7,7,1508650.782660614,741741.4581992775,221334,20210912,20210913,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.6706237180439658,1.0,0.0523010419666447,0.4444444444444444,317.0,182.0,1,1,1
59722,ZA5,KwaZulu-Natal,,,2021-09-12,2021-09-13,3,3,3,1098696.505837542,45979.07597196402,153097,20210912,20210913,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,,,,,,0.07735186107982292,0.5555555555555556,,,1106.0,,1,1,1
59723,ZA4,Free State,ZA3,Nothern Cape,2021-09-12,2021-09-12,2,2,2,770253.0636003541,391363.7191637485,44256,20210912,20210912,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2248492570676798,0.7777777777777778,0.09958456723393624,0.6666666666666666,328.0,363.0,1,1,1
59724,ZA9,Limpopo,ZA6,North West,2021-09-12,2021-09-12,10,10,10,3686152.9581177495,1495705.437643304,155071,20210912,20210912,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.020299216875639643,0.3333333333333333,-0.04677388157695324,0.1111111111111111,47.0,160.0,1,1,1
