,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown
33738,ZA1,Western Cape,ZA2,Eastern Cape,2021-05-19,2021-05-19,3,3,3,3692748.8401178494,1532642.1164459994,21538,20210519,20210519,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.48495156727992644,0.8888888888888888,-0.04666754827373582,0.2222222222222222,338.0,125.0,1,1,1
33739,ZA7,Gauteng,ZA3,Nothern Cape,2021-05-19,2021-05-19,1,1,1,1386260.7294375408,693118.5648505545,8369,20210519,20210519,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.6706237180439658,1.0,0.09958456723393624,0.6666666666666666,1385.0,467.0,1,1,1
33740,ZA1,Western Cape,ZA7,Gauteng,2021-05-19,2021-05-19,3,3,3,4871158.988265548,3518837.654375976,83729,20210519,20210519,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.48495156727992644,0.8888888888888888,0.6706237180439658,1.0,338.0,1385.0,1,1,1
33741,ZA4,Free State,ZA7,Gauteng,2021-05-19,2021-05-20,10,10,10,2283804.454208299,1451976.0747253506,520683,20210519,20210520,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2248492570676798,0.7777777777777778,0.6706237180439658,1.0,411.0,1519.0,1,1,1
33742,ZA6,North West,ZA7,Gauteng,2021-05-19,2021-05-25,1,1,1,477591.1387154722,238801.7649470144,516483,20210519,20210525,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.04677388157695324,0.1111111111111111,0.6706237180439658,1.0,366.0,1445.0,1,1,1
33743,ZA4,Free State,ZA3,Nothern Cape,2021-05-19,2021-05-20,1,1,1,26260.1177690612,11714.191553946968,28454,20210519,20210520,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2248492570676798,0.7777777777777778,0.09958456723393624,0.6666666666666666,411.0,434.0,1,1,1
33744,ZA7,Gauteng,ZA2,Eastern Cape,2021-05-19,2021-05-20,2,2,2,2728378.8441156936,1713076.4751840627,96325,20210519,20210520,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.6706237180439658,1.0,-0.04666754827373582,0.2222222222222222,1385.0,64.0,1,1,1
33745,ZA7,Gauteng,ZA7,Gauteng,2021-05-19,2021-05-19,15204,9409,8390,450637566.7952548,152200603.80312955,219221768,20210519,20210519,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,0.6706237180439658,1.0,1385.0,1385.0,1,1,1
33746,ZA7,Gauteng,ZA5,KwaZulu-Natal,2021-05-19,2021-05-20,2,2,2,1541576.0068373806,893233.2466497535,138161,20210519,20210520,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.6706237180439658,1.0,0.07735186107982292,0.5555555555555556,1385.0,161.0,1,1,1
33747,ZA9,Limpopo,ZA5,KwaZulu-Natal,2021-05-19,2021-05-22,1,1,1,1324640.609507824,587244.9412984304,258299,20210519,20210522,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,-0.020299216875639643,0.3333333333333333,0.07735186107982292,0.5555555555555556,85.0,169.0,1,1,1
