,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown
35820,ZA7,Gauteng,ZA8,Mpumalanga,2021-05-31,2021-05-31,47,47,47,9283873.548802383,4672357.982604007,645341,20210531,20210531,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.6706237180439658,1.0,0.0523010419666447,0.4444444444444444,1308.0,82.0,1,1,1
35821,ZA2,Eastern Cape,ZA2,Eastern Cape,2021-05-31,2021-06-01,1159,1159,1159,18013947.134660263,7344297.007071817,60382040,20210531,20210601,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,-0.04666754827373582,0.2222222222222222,42.0,99.0,1,1,1
35822,ZA8,Mpumalanga,ZA9,Limpopo,2021-05-31,2021-06-01,1,1,1,3283.8759254864017,1640.1018215597549,68834,20210531,20210601,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.0523010419666447,0.4444444444444444,-0.020299216875639643,0.3333333333333333,82.0,56.0,1,1,1
35823,ZA6,North West,ZA6,North West,2021-05-31,2021-06-01,717,717,717,13211513.047703194,5164382.452419683,37347119,20210531,20210601,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,-0.04677388157695324,0.1111111111111111,159.0,305.0,1,1,1
35824,ZA4,Free State,ZA1,Western Cape,2021-05-31,2021-05-31,1,1,1,1176751.8007045563,1176751.8007045563,21068,20210531,20210531,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.2248492570676798,0.7777777777777778,0.48495156727992644,0.8888888888888888,310.0,202.0,1,1,1
35825,ZA6,North West,ZA4,Free State,2021-05-31,2021-05-31,7,7,6,1195528.6596131437,534577.1528465843,93222,20210531,20210531,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,-0.04677388157695324,0.1111111111111111,0.2248492570676798,0.7777777777777778,159.0,310.0,1,1,1
35826,ZA7,Gauteng,ZA4,Free State,2021-05-31,2021-06-01,3,3,3,150888.7274086833,67848.16218159742,137671,20210531,20210601,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.6706237180439658,1.0,0.2248492570676798,0.7777777777777778,1308.0,472.0,1,1,1
35827,ZA7,Gauteng,ZA7,Gauteng,2021-05-31,2021-05-31,13013,7953,7033,431579931.7220093,133670069.08296812,144301381,20210531,20210531,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,0.6706237180439658,1.0,1308.0,1308.0,1,1,1
35828,ZA7,Gauteng,ZA4,Free State,2021-05-31,2021-05-31,24,24,24,1597514.5080154708,1119140.214557,318645,20210531,20210531,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.6706237180439658,1.0,0.2248492570676798,0.7777777777777778,1308.0,310.0,1,1,1
35829,ZA6,North West,ZA7,Gauteng,2021-05-31,2021-05-31,67,66,64,7738459.825407334,4211769.458462255,887594,20210531,20210531,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.04677388157695324,0.1111111111111111,0.6706237180439658,1.0,159.0,1308.0,1,1,1
35830,ZA4,Free State,ZA7,Gauteng,2021-05-31,2021-06-01,10,10,10,402603.3782672655,190186.98052605923,537317,20210531,20210601,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2248492570676798,0.7777777777777778,0.6706237180439658,1.0,310.0,1839.0,1,1,1
35834,ZA8,Mpumalanga,ZA9,Limpopo,2021-05-31,2021-05-31,13,13,12,3264629.456353736,828191.5865656504,158497,20210531,20210531,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.0523010419666447,0.4444444444444444,-0.020299216875639643,0.3333333333333333,82.0,37.0,1,1,1
35835,ZA5,KwaZulu-Natal,ZA5,KwaZulu-Natal,2021-05-31,2021-06-01,2149,2149,2149,38710410.08171692,16303139.384169765,113638810,20210531,20210601,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,0.07735186107982292,0.5555555555555556,77.0,149.0,1,1,1
35836,ZA3,Nothern Cape,ZA6,North West,2021-05-31,2021-06-01,3,3,3,104220.13143814994,52049.9911670813,160927,20210531,20210601,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.09958456723393624,0.6666666666666666,-0.04677388157695324,0.1111111111111111,575.0,305.0,1,1,1
35837,ZA5,KwaZulu-Natal,ZA5,KwaZulu-Natal,2021-05-31,2021-05-31,5052,3117,2723,175369325.2668427,52550761.26892674,55453086,20210531,20210531,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,0.07735186107982292,0.5555555555555556,77.0,77.0,1,1,1
35838,ZA6,North West,ZA4,Free State,2021-05-31,2021-06-01,2,2,2,206986.4581415544,99764.38577108824,78141,20210531,20210601,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,-0.04677388157695324,0.1111111111111111,0.2248492570676798,0.7777777777777778,159.0,472.0,1,1,1
35839,ZA8,Mpumalanga,ZA8,Mpumalanga,2021-05-31,2021-06-01,777,777,777,16687303.657555675,7180808.354927583,39950410,20210531,20210601,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,82.0,143.0,1,1,1
35840,ZA8,Mpumalanga,ZA7,Gauteng,2021-05-31,2021-06-01,10,10,10,1081036.3500974623,502569.4598003772,419822,20210531,20210601,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.0523010419666447,0.4444444444444444,0.6706237180439658,1.0,82.0,1839.0,1,1,1
35841,ZA7,Gauteng,ZA3,Nothern Cape,2021-05-31,2021-05-31,1,1,1,336449.69925521367,336449.69925521367,30433,20210531,20210531,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.6706237180439658,1.0,0.09958456723393624,0.6666666666666666,1308.0,575.0,1,1,1
35842,ZA2,Eastern Cape,ZA7,Gauteng,2021-05-31,2021-05-31,4,4,4,5143477.147078622,3596095.586388221,73311,20210531,20210531,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.04666754827373582,0.2222222222222222,0.6706237180439658,1.0,42.0,1308.0,1,1,1
