,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown
20557,ZA7,Gauteng,ZA4,Free State,2021-04-02,2021-04-02,898,876,859,333238883.7411345,136069084.53537744,11917275,20210402,20210402,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.6706237180439658,1.0,0.2248492570676798,0.7777777777777778,415.0,128.0,1,1,1
20558,ZA6,North West,ZA8,Mpumalanga,2021-04-02,2021-04-16,1,1,1,812950.7089926838,286066.1413154437,1205019,20210402,20210416,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,-0.04677388157695324,0.1111111111111111,0.0523010419666447,0.4444444444444444,137.0,99.0,1,1,1
20559,ZA8,Mpumalanga,ZA2,Eastern Cape,2021-04-02,2021-04-16,2,2,2,2323175.7447526003,1948391.726119252,2407432,20210402,20210416,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.0523010419666447,0.4444444444444444,-0.04666754827373582,0.2222222222222222,125.0,33.0,1,1,1
20560,ZA2,Eastern Cape,ZA2,Eastern Cape,2021-04-02,2021-04-03,1805,1803,1802,118540671.60818352,21118082.126760807,71451092,20210402,20210403,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,-0.04666754827373582,0.2222222222222222,22.0,8.0,1,1,1
20561,ZA6,North West,ZA7,Gauteng,2021-04-02,2021-04-19,1,1,1,354368.3802776096,123854.14199521192,1424339,20210402,20210419,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.04677388157695324,0.1111111111111111,0.6706237180439658,1.0,137.0,232.0,1,1,1
20562,ZA6,North West,ZA8,Mpumalanga,2021-04-02,2021-04-02,21,21,21,27322017.20299881,14663792.778103892,464005,20210402,20210402,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,-0.04677388157695324,0.1111111111111111,0.0523010419666447,0.4444444444444444,137.0,125.0,1,1,1
20564,ZA4,Free State,ZA1,Western Cape,2021-04-02,2021-04-02,34,34,34,62354504.74102999,26604761.03891394,1059686,20210402,20210402,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.2248492570676798,0.7777777777777778,0.48495156727992644,0.8888888888888888,128.0,162.0,1,1,1
20565,ZA4,Free State,ZA4,Free State,2021-04-02,2021-04-11,1,1,1,343573.28759102966,155919.55672489156,804041,20210402,20210411,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,0.2248492570676798,0.7777777777777778,128.0,146.0,1,1,1
20566,ZA4,Free State,ZA4,Free State,2021-04-02,2021-04-02,9142,5092,3738,768011550.3564515,128512216.23800376,57911572,20210402,20210402,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,0.2248492570676798,0.7777777777777778,128.0,128.0,1,1,1
20567,ZA2,Eastern Cape,ZA1,Western Cape,2021-04-02,2021-04-24,2,2,2,684851.4346848264,624760.3743713225,3804347,20210402,20210424,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,-0.04666754827373582,0.2222222222222222,0.48495156727992644,0.8888888888888888,22.0,134.0,1,1,1
20569,ZA1,Western Cape,,,2021-04-02,2021-04-02,58,55,55,6839742.426389906,783152.1263852901,592750,20210402,20210402,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,,,,,,0.48495156727992644,0.8888888888888888,,,162.0,,1,1,1
20570,ZA8,Mpumalanga,ZA8,Mpumalanga,2021-04-02,2021-04-02,11153,6115,4526,1154378825.8106115,184507083.74472877,75886542,20210402,20210402,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,125.0,125.0,1,1,1
20571,ZA4,Free State,ZA2,Eastern Cape,2021-04-02,2021-04-02,78,78,78,103325510.78975098,33532105.72251839,1770802,20210402,20210402,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.2248492570676798,0.7777777777777778,-0.04666754827373582,0.2222222222222222,128.0,22.0,1,1,1
