,admin1Pcod_1,admin1Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,new cases
127710,NG012,Edo,2020-06-14,4035,3613,1067,1948969278.3496227,1455563137.982037,76255120,847.6522984298158,1134.9890947722974,314.9736472532012,1191.1140268666045,3.781630740393627,20200614,0.3648963025856633,0.5925314188027963,0.04257227861154045,0.5050509097282766,4393070.0,0.048192548470072316,0.7027027027027027,36.0
127711,NG004,Anambra,2020-06-14,621,404,286,190924958.59864563,75134150.51707795,13334976,163.23844994593017,414.8086333996645,357.8898550724638,777.0965034965035,2.1713286713286712,20200614,0.3550563739560004,0.6034760570706295,0.041467568973370096,0.5059823635153309,5936784.0,0.5172892070039768,0.9459459459459459,1.0
127712,NG035,Taraba,2020-06-14,177,89,59,35014940.86597836,17787118.680692103,2774225,187.328866798112,368.7673822375037,261.2264595103578,783.6793785310734,3.0,20200614,0.4572416308140842,0.515646300036468,0.027112069149447745,0.5130515216955309,3046503.0,-0.3693491920970492,0.21621621621621623,0.0
127713,NG009,Cross River,2020-06-14,180,99,67,20392185.97649037,7392383.739851483,2554284,68.55842235682684,189.12114794831737,236.5077777777778,635.3940298507463,2.6865671641791047,20200614,0.3831984467942394,0.5834763463285051,0.03332520687725556,0.5092349804775577,3958265.0,-0.18777845359495773,0.4864864864864865,0.0
127714,NG026,Nasarawa,2020-06-14,277,188,147,24115325.40630884,11694733.42643526,4090227,49.43381259919645,101.93584012863532,246.10270758122743,463.7445578231293,1.8843537414965987,20200614,0.458082127493156,0.5146632772780603,0.02725459522878373,0.5071486116542824,2557000.0,-0.3814972133848704,0.1891891891891892,31.0
127715,NG019,Kaduna,2020-06-14,1751,1065,791,265827591.14450487,117506134.03411116,38874757,92.30711327430546,208.82124808980976,370.02433847325335,819.1057100716392,2.213653603034134,20200614,0.46503701110532975,0.5075057258770135,0.027457263017656792,0.506968163107597,8758047.0,-0.1703334579739599,0.5135135135135135,17.0
127716,NG031,Oyo,2020-06-14,3196,1596,869,111240965.85335676,37659581.36802072,38246040,26.928169129811188,79.54192356493999,199.4474342928661,733.5258918296893,3.677790563866514,20200614,0.37711239812688285,0.5836282165130016,0.039259385360115584,0.5019705838533485,8470586.0,-0.019245055859069864,0.6486486486486487,16.0
127717,NG014,Enugu,2020-06-14,450,212,135,53083261.68824281,18964714.697656285,6597943,87.28983246017464,244.3289600227395,244.36825925925925,814.5608641975308,3.333333333333333,20200614,0.3548333037798759,0.5979631440077704,0.04720355221235371,0.48606967776766996,4415727.0,0.11263773985257676,0.7837837837837838,6.0
127718,NG029,Ondo,2020-06-14,393,193,130,14832468.545914875,5371773.310759632,5527671,25.67588605027233,70.89591280152216,234.42201017811703,708.6757692307692,3.023076923076923,20200614,0.37893516274736494,0.5832181604477588,0.03784667680487627,0.5035690220992856,4673409.0,-0.23320407133660132,0.3783783783783784,1.0
127719,NG023,Kogi,2020-06-14,145,90,69,25862684.75661608,10129353.35176098,2708950,91.2186720112602,232.9032936474907,311.3735632183908,654.3357487922706,2.101449275362319,20200614,0.45037839661721446,0.5217364067083422,0.02788519667444328,0.506811428561977,4836724.0,-0.30831429069378413,0.2972972972972973,0.0
127720,NG024,Kwara,2020-06-14,942,515,338,74880584.62485409,32274534.44827821,15959660,59.33273949417615,137.65869273305964,282.37190375088466,786.9654832347139,2.78698224852071,20200614,0.43856274012514257,0.5300045253998054,0.03143273447505214,0.5069599109955376,3378707.0,-0.15738931235438808,0.5405405405405406,0.0
127721,NG021,Katsina,2020-06-14,269,173,131,54027204.24092483,19467139.660441447,5693016,92.33831893327628,256.266781010942,352.72713754646844,724.3022900763358,2.053435114503817,20200614,0.48655803853244695,0.4881893734794351,0.02525258798811795,0.509826765221673,8050462.0,-0.4045410794272394,0.16216216216216217,0.0
127722,NG006,Bayelsa,2020-06-14,79,41,24,11671688.041416178,3382883.2059614374,832634,87.58442378699637,302.1854464048752,175.66118143459917,578.2180555555556,3.2916666666666665,20200614,0.37835323397591747,0.5884318304151591,0.03321493560892341,0.5125803164505587,2537774.0,-0.10448904236851947,0.6216216216216216,0.0
127723,NG005,Bauchi,2020-06-14,260,157,123,49738304.758824006,17744260.654188115,6389872,89.64042600051125,251.2678839662954,409.6071794871795,865.8363143631436,2.113821138211382,20200614,0.48096824368540303,0.4930077633721537,0.026023992942443307,0.5108444763587695,6690134.0,-0.4833208988736141,0.08108108108108109,0.0
127724,NG032,Plateau,2020-06-14,347,194,124,50049477.22219671,20786275.44779621,5017937,104.1612319126674,250.8008333259005,241.01522574447648,674.4538978494624,2.798387096774193,20200614,0.44148344424442243,0.5246600953608579,0.033856460394719665,0.49981152163639675,4350632.0,-0.20435074060739566,0.43243243243243246,8.0
127725,NG033,Rivers,2020-06-14,1531,891,542,184580886.06997028,75297108.08079217,23333989,86.32371553539708,211.61115358214195,254.0168626170259,717.5273370233703,2.8247232472324724,20200614,0.3607179556377358,0.6064986277483454,0.03278341661391882,0.5155672987437575,7840763.0,0.1614581709475816,0.8648648648648649,7.0
127726,NG018,Jigawa,2020-06-14,100,65,48,24002593.895993017,6822170.175959502,1700108,88.31458366420705,310.71917470711946,283.35133333333334,590.3152777777777,2.083333333333333,20200614,0.4759832686855246,0.4966159109599566,0.02740082035451879,0.505479893884154,5921830.0,-0.49549208851903037,0.05405405405405406,0.0
