,admin1Pcod_1,admin1Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,new cases
81270,NG028,Ogun,2020-04-15,4028,2156,1215,50451285.569096655,14862812.66069264,44308389,7.60108940162529,25.80162589627637,183.3349428997021,607.7968312757201,3.31522633744856,20200415,0.3764942420253995,0.5828607691591555,0.040644988815445024,0.4983858197437503,5854055.0,0.11933543982440241,0.8108108108108109,0.0
81271,NG030,Osun,2020-04-15,851,400,213,14509790.9706559,3441447.701619535,9293179,10.039513903181987,42.32847941103737,182.0050724637681,727.1658059467918,3.995305164319249,20200415,0.36641836172583325,0.5944391290481575,0.03914250922600927,0.5059847910635072,4828740.0,0.0026606813370417975,0.6756756756756757,0.0
81272,NG014,Enugu,2020-04-15,296,125,85,11034569.11151978,1953340.844422588,3233344,14.2794085805264,80.66545134882712,182.05765765765767,633.9890196078431,3.4823529411764707,20200415,0.3548333037798759,0.5979631440077704,0.04720355221235371,0.48606967776766996,4415727.0,0.11263773985257676,0.7837837837837838,0.0
81273,NG009,Cross River,2020-04-15,161,71,47,5846689.919877163,1363168.4352898982,1790666,18.02199140119968,77.29712098204415,185.3691511387164,634.9879432624114,3.425531914893617,20200415,0.3831984467942394,0.5834763463285051,0.03332520687725556,0.5092349804775577,3958265.0,-0.18777845359495773,0.4864864864864865,0.0
81274,NG004,Anambra,2020-04-15,292,138,87,3913114.2595171374,1037345.4031283264,3341448,7.408925860962827,27.94823531950662,190.7219178082192,640.1241379310345,3.35632183908046,20200415,0.3550563739560004,0.6034760570706295,0.041467568973370096,0.5059823635153309,5936784.0,0.5172892070039768,0.9459459459459459,0.0
81275,NG006,Bayelsa,2020-04-15,68,36,25,1693312.5648045547,309714.5771647483,867783,7.697908642645657,42.08702588892256,212.69191176470588,578.522,2.72,20200415,0.37835323397591747,0.5884318304151591,0.03321493560892341,0.5125803164505587,2537774.0,-0.10448904236851947,0.6216216216216216,0.0
81276,NG016,Gombe,2020-04-15,216,113,87,6985146.687503855,2087682.938161465,4540515,14.91064409539,49.88929799042453,350.3483796296296,869.830459770115,2.4827586206896552,20200415,0.4747655452041227,0.4988770635927775,0.02635739120309983,0.5284934612057086,3392445.0,-0.25910296259332805,0.32432432432432434,0.0
81277,NG005,Bauchi,2020-04-15,300,173,126,8209726.275670714,4098280.4270830927,5297004,20.21074123094882,40.48640796710856,294.278,700.6619047619047,2.380952380952381,20200415,0.48096824368540303,0.4930077633721537,0.026023992942443307,0.5108444763587695,6690134.0,-0.4833208988736141,0.08108108108108109,0.0
81278,NG033,Rivers,2020-04-15,1374,641,360,27279387.354343336,6288414.565648773,13313865,10.853999044277206,47.08507067742325,161.49763464337698,616.3826388888889,3.816666666666667,20200415,0.3607179556377358,0.6064986277483454,0.03278341661391882,0.5155672987437575,7840763.0,0.1614581709475816,0.8648648648648649,0.0
81279,NG037,Zamfara,2020-04-15,179,86,65,4524117.986622277,1421248.998458465,3143709,13.586510532896208,43.248562879536166,292.7103351955308,806.0792307692308,2.753846153846154,20200415,0.4822951286895683,0.49170011989092705,0.026004751419504635,0.5030233221454106,4568319.0,-0.4763162522559063,0.10810810810810811,0.0
81280,NG008,Borno,2020-04-15,923,478,331,18325728.10827204,5968686.857891134,14285910,11.204743410813052,34.40205294034507,257.96153846153845,719.3308157099698,2.788519637462236,20200415,0.4656333169168363,0.5077319274989265,0.026634755584237252,0.5216485478678367,6594992.0,-0.21159417396202837,0.40540540540540543,0.0
81281,NG022,Kebbi,2020-04-15,146,87,65,11479528.072403325,1852889.797085681,2606922,17.712805266146482,109.7392006872492,297.5938356164384,668.4415384615385,2.246153846153846,20200415,0.4855904279683244,0.48801456343612665,0.026395008595548938,0.5032996532071795,4510474.0,-0.4166000362854463,0.13513513513513514,0.0
