,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
59437,ZA4,Free State,ZA2,Eastern Cape,2020-07-31,2020-07-31,34,34,33,15883442.273640735,7659582.66967235,673034,20200731,20200731,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.2248492570676798,0.7777777777777778,-0.04666754827373582,0.2222222222222222,864.0,883.0,1,1,3,0,0,0,1,0,0
59438,ZA6,North West,ZA8,Mpumalanga,2020-07-31,2020-07-31,20,20,20,9687871.567277208,5968917.363804751,635114,20200731,20200731,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,-0.04677388157695324,0.1111111111111111,0.0523010419666447,0.4444444444444444,514.0,821.0,1,1,3,0,0,0,1,0,0
59439,ZA3,Nothern Cape,ZA1,Western Cape,2020-07-31,2020-07-31,20,20,20,19284367.66014,9059027.455818404,551092,20200731,20200731,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.09958456723393624,0.6666666666666666,0.48495156727992644,0.8888888888888888,339.0,783.0,1,1,3,0,0,0,1,0,0
59440,ZA2,Eastern Cape,ZA2,Eastern Cape,2020-07-31,2020-08-01,1820,1820,1820,53144126.94548147,18567958.996648584,61388720,20200731,20200801,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,-0.04666754827373582,0.2222222222222222,883.0,844.0,1,1,3,0,0,0,1,0,0
59441,ZA1,Western Cape,ZA3,Nothern Cape,2020-07-31,2020-07-31,16,16,16,11074726.034683404,6959355.689041747,427513,20200731,20200731,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.48495156727992644,0.8888888888888888,0.09958456723393624,0.6666666666666666,783.0,339.0,1,1,3,0,0,0,1,0,0
59442,ZA5,KwaZulu-Natal,ZA5,KwaZulu-Natal,2020-07-31,2020-07-31,35763,18080,12087,1562098303.0531938,429030199.3047268,245674071,20200731,20200731,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,0.07735186107982292,0.5555555555555556,2787.0,2787.0,1,1,3,0,0,0,1,0,0
59443,ZA1,Western Cape,ZA5,KwaZulu-Natal,2020-07-31,2020-07-31,6,6,6,10731981.307927214,7160938.340302027,191476,20200731,20200731,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.48495156727992644,0.8888888888888888,0.07735186107982292,0.5555555555555556,783.0,2787.0,1,1,3,0,0,0,1,0,0
59444,ZA7,Gauteng,ZA4,Free State,2020-07-31,2020-07-31,442,430,422,97810854.51570576,48679677.65713779,6208796,20200731,20200731,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.6706237180439658,1.0,0.2248492570676798,0.7777777777777778,3698.0,864.0,1,1,3,0,0,0,1,0,0
59445,ZA5,KwaZulu-Natal,,,2020-07-31,2020-07-31,29,29,29,3096037.631371603,1371216.325343522,240281,20200731,20200731,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,,,,,,0.07735186107982292,0.5555555555555556,,,2787.0,,1,1,3,0,0,0,1,0,0
59446,ZA6,North West,ZA4,Free State,2020-07-31,2020-08-01,18,18,18,1750644.5798845862,636972.5264739146,414429,20200731,20200801,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,-0.04677388157695324,0.1111111111111111,0.2248492570676798,0.7777777777777778,514.0,1046.0,1,1,3,0,0,0,1,0,0
59447,ZA1,Western Cape,ZA1,Western Cape,2020-07-31,2020-07-31,64750,33702,22504,2622618874.683582,754068121.4346197,417028403,20200731,20200731,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,783.0,783.0,1,1,3,0,0,0,1,0,0
59448,ZA4,Free State,ZA6,North West,2020-07-31,2020-07-31,112,110,108,19465904.74759058,8129515.750762136,1629652,20200731,20200731,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2248492570676798,0.7777777777777778,-0.04677388157695324,0.1111111111111111,864.0,514.0,1,1,3,0,0,0,1,0,0
59449,ZA4,Free State,ZA6,North West,2020-07-31,2020-08-01,11,11,11,949300.6875556284,403307.02603515936,303306,20200731,20200801,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2248492570676798,0.7777777777777778,-0.04677388157695324,0.1111111111111111,864.0,389.0,1,1,3,0,0,0,1,0,0
59450,ZA7,Gauteng,ZA1,Western Cape,2020-07-31,2020-07-31,45,45,45,73724216.09679206,58774319.16718404,1519120,20200731,20200731,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.6706237180439658,1.0,0.48495156727992644,0.8888888888888888,3698.0,783.0,1,1,3,0,0,0,1,0,0
59451,ZA8,Mpumalanga,ZA9,Limpopo,2020-07-31,2020-08-01,12,12,12,1280775.1801417817,656306.2469254251,276895,20200731,20200801,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.0523010419666447,0.4444444444444444,-0.020299216875639643,0.3333333333333333,821.0,314.0,1,1,3,0,0,0,1,0,0
59452,ZA6,North West,ZA6,North West,2020-07-31,2020-08-01,1109,1109,1109,31557759.04626584,10868332.1413484,34904706,20200731,20200801,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,-0.04677388157695324,0.1111111111111111,514.0,389.0,1,1,3,0,0,0,1,0,0
59453,ZA8,Mpumalanga,ZA5,KwaZulu-Natal,2020-07-31,2020-07-31,34,34,34,14703713.472029544,9390981.95645848,771537,20200731,20200731,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.0523010419666447,0.4444444444444444,0.07735186107982292,0.5555555555555556,821.0,2787.0,1,1,3,0,0,0,1,0,0
59454,ZA7,Gauteng,ZA7,Gauteng,2020-07-31,2020-08-01,11910,11910,11910,328166132.1793436,118202718.71777532,358275965,20200731,20200801,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,0.6706237180439658,1.0,3698.0,2847.0,1,1,3,0,0,0,1,0,0
59455,ZA7,Gauteng,ZA5,KwaZulu-Natal,2020-07-31,2020-07-31,107,107,106,66284710.81226196,50989850.82826178,3053839,20200731,20200731,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.6706237180439658,1.0,0.07735186107982292,0.5555555555555556,3698.0,2787.0,1,1,3,0,0,0,1,0,0
59456,ZA5,KwaZulu-Natal,ZA2,Eastern Cape,2020-07-31,2020-07-31,29,29,29,8460679.691050138,4812237.029002469,498177,20200731,20200731,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.07735186107982292,0.5555555555555556,-0.04666754827373582,0.2222222222222222,2787.0,883.0,1,1,3,0,0,0,1,0,0
59457,ZA7,Gauteng,ZA6,North West,2020-07-31,2020-08-01,61,61,61,6368976.031269405,2682193.752109609,1630655,20200731,20200801,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.6706237180439658,1.0,-0.04677388157695324,0.1111111111111111,3698.0,389.0,1,1,3,0,0,0,1,0,0
59458,ZA4,Free State,ZA7,Gauteng,2020-07-31,2020-07-31,358,349,336,61334113.49233159,30383631.639978472,4983800,20200731,20200731,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2248492570676798,0.7777777777777778,0.6706237180439658,1.0,864.0,3698.0,1,1,3,0,0,0,1,0,0
59459,ZA7,Gauteng,ZA6,North West,2020-07-31,2020-07-31,676,671,645,108516060.4482142,55666549.46529517,10854809,20200731,20200731,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.6706237180439658,1.0,-0.04677388157695324,0.1111111111111111,3698.0,514.0,1,1,3,0,0,0,1,0,0
59460,ZA6,North West,ZA4,Free State,2020-07-31,2020-07-31,129,127,124,25130437.232935417,10825843.07953304,1591480,20200731,20200731,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,-0.04677388157695324,0.1111111111111111,0.2248492570676798,0.7777777777777778,514.0,864.0,1,1,3,0,0,0,1,0,0
59461,ZA4,Free State,ZA7,Gauteng,2020-07-31,2020-08-01,49,49,49,5783961.150311242,2433058.9466791293,1083260,20200731,20200801,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2248492570676798,0.7777777777777778,0.6706237180439658,1.0,864.0,2847.0,1,1,3,0,0,0,1,0,0
59462,ZA3,Nothern Cape,ZA3,Nothern Cape,2020-07-31,2020-07-31,4935,2386,1592,307165989.36434096,66944289.68027785,33502419,20200731,20200731,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,0.09958456723393624,0.6666666666666666,339.0,339.0,1,1,3,0,0,0,1,0,0
59463,ZA7,Gauteng,ZA3,Nothern Cape,2020-07-31,2020-07-31,20,20,20,21579800.58397203,13448012.632841133,675502,20200731,20200731,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.6706237180439658,1.0,0.09958456723393624,0.6666666666666666,3698.0,339.0,1,1,3,0,0,0,1,0,0
59464,ZA5,KwaZulu-Natal,ZA7,Gauteng,2020-07-31,2020-07-31,72,72,72,57896140.85341504,35207349.761102,2204516,20200731,20200731,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.07735186107982292,0.5555555555555556,0.6706237180439658,1.0,2787.0,3698.0,1,1,3,0,0,0,1,0,0
