,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
94183,ZA7,Gauteng,ZA6,North West,2020-11-11,2020-11-12,67,67,67,15942209.238108585,6195931.7230552025,2976611,20201111,20201112,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.6706237180439658,1.0,-0.04677388157695324,0.1111111111111111,275.0,98.0,1,1,1,0,1,0,0,0,0
94184,ZA4,Free State,ZA7,Gauteng,2020-11-11,2020-11-11,388,385,371,79750816.45601149,33214756.325818274,3702570,20201111,20201111,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2248492570676798,0.7777777777777778,0.6706237180439658,1.0,87.0,275.0,1,1,1,0,1,0,0,0,0
94185,ZA2,Eastern Cape,ZA7,Gauteng,2020-11-11,2020-11-14,1,1,1,1046166.0966008292,908071.9731662724,297039,20201111,20201114,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.04666754827373582,0.2222222222222222,0.6706237180439658,1.0,945.0,202.0,1,1,1,0,1,0,0,0,0
94186,ZA2,Eastern Cape,ZA2,Eastern Cape,2020-11-11,2020-11-12,1832,1831,1831,64259950.27017561,19596539.479030028,75636218,20201111,20201112,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,-0.04666754827373582,0.2222222222222222,945.0,1142.0,1,1,1,0,1,0,0,0,0
94187,ZA7,Gauteng,ZA9,Limpopo,2020-11-11,2020-11-11,121,121,120,64167700.80643679,27263032.194871064,2232441,20201111,20201111,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.6706237180439658,1.0,-0.020299216875639643,0.3333333333333333,275.0,48.0,1,1,1,0,1,0,0,0,0
94188,ZA9,Limpopo,ZA9,Limpopo,2020-11-11,2020-11-16,1,1,1,220327.83469279812,108064.94514284228,404315,20201111,20201116,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,-0.020299216875639643,0.3333333333333333,48.0,15.0,1,1,1,0,1,0,0,0,0
94189,ZA4,Free State,ZA7,Gauteng,2020-11-11,2020-11-12,53,53,53,13057452.562746927,5965507.3918472845,2181411,20201111,20201112,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2248492570676798,0.7777777777777778,0.6706237180439658,1.0,87.0,240.0,1,1,1,0,1,0,0,0,0
94190,ZA9,Limpopo,ZA6,North West,2020-11-11,2020-11-11,27,27,26,11079424.101864114,4269531.319907549,340496,20201111,20201111,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.020299216875639643,0.3333333333333333,-0.04677388157695324,0.1111111111111111,48.0,85.0,1,1,1,0,1,0,0,0,0
94191,ZA9,Limpopo,ZA1,Western Cape,2020-11-11,2020-11-11,2,2,2,6993305.099089995,3364342.422993703,77013,20201111,20201111,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,-0.020299216875639643,0.3333333333333333,0.48495156727992644,0.8888888888888888,48.0,458.0,1,1,1,0,1,0,0,0,0
94192,ZA6,North West,ZA4,Free State,2020-11-11,2020-11-12,14,14,14,2265243.4854591656,1121512.679709245,645746,20201111,20201112,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,-0.04677388157695324,0.1111111111111111,0.2248492570676798,0.7777777777777778,85.0,97.0,1,1,1,0,1,0,0,0,0
