,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new cases_1,new cases_2
99554,NG019,Kaduna,NG015,Federal Capital Territory,2020-07-10,2020-07-10,14,14,14,7033694.683336809,2589343.277363588,251051,20200710,20200710,0.46503701110532975,0.5075057258770135,0.027457263017656792,0.506968163107597,8758047.0,0.3761808011877354,0.6090082893686061,0.014810909443658583,0.5320270119615359,4834747.0,-0.1703334579739599,0.5135135135135135,0.06716322463290017,0.7567567567567568,39.0,68.0
99555,NG012,Edo,NG025,Lagos,2020-07-10,2020-07-17,2,2,2,743714.9066488806,495591.0241347319,1187550,20200710,20200717,0.3648963025856633,0.5925314188027963,0.04257227861154045,0.5050509097282766,4393070.0,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,0.048192548470072316,0.7027027027027027,1.1187153694407612,1.0,31.0,129.0
99556,NG015,Federal Capital Territory,NG028,Ogun,2020-07-10,2020-07-12,1,1,1,1072975.7953043634,536487.8704207987,114288,20200710,20200712,0.3761808011877354,0.6090082893686061,0.014810909443658583,0.5320270119615359,4834747.0,0.3764942420253995,0.5828607691591555,0.040644988815445024,0.4983858197437503,5854055.0,0.06716322463290017,0.7567567567567568,0.11933543982440241,0.8108108108108109,68.0,7.0
99557,NG015,Federal Capital Territory,NG025,Lagos,2020-07-10,2020-07-14,3,3,3,2698637.0062452774,1614723.675580503,956499,20200710,20200714,0.3761808011877354,0.6090082893686061,0.014810909443658583,0.5320270119615359,4834747.0,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,0.06716322463290017,0.7567567567567568,1.1187153694407612,1.0,68.0,128.0
99558,NG009,Cross River,NG031,Oyo,2020-07-10,2020-07-10,1,1,1,1113494.0949633005,555380.4937567572,26075,20200710,20200710,0.3831984467942394,0.5834763463285051,0.03332520687725556,0.5092349804775577,3958265.0,0.37711239812688285,0.5836282165130016,0.039259385360115584,0.5019705838533485,8470586.0,-0.18777845359495773,0.4864864864864865,-0.019245055859069864,0.6486486486486487,0.0,85.0
99559,NG004,Anambra,NG010,Delta,2020-07-10,2020-07-11,5,5,5,2222677.410356965,342422.81771654444,169228,20200710,20200711,0.3550563739560004,0.6034760570706295,0.041467568973370096,0.5059823635153309,5936784.0,0.37205747147343576,0.5865213978831537,0.041421130643410485,0.5024198117756394,5827726.0,0.5172892070039768,0.9459459459459459,0.04986988030496243,0.7297297297297297,0.0,11.0
99560,NG019,Kaduna,NG025,Lagos,2020-07-10,2020-07-10,29,29,28,36697785.59016585,19264457.874114346,326479,20200710,20200710,0.46503701110532975,0.5075057258770135,0.027457263017656792,0.506968163107597,8758047.0,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,-0.1703334579739599,0.5135135135135135,1.1187153694407612,1.0,39.0,224.0
99561,NG020,Kano,NG019,Kaduna,2020-07-10,2020-07-10,5,5,5,3730537.604607664,986315.6240298966,82982,20200710,20200710,0.4727684792901625,0.5011033541407554,0.026128166569082133,0.5280232410357527,13612130.0,0.46503701110532975,0.5075057258770135,0.027457263017656792,0.506968163107597,8758047.0,0.1241609281772341,0.8378378378378378,-0.1703334579739599,0.5135135135135135,1.0,39.0
99562,NG005,Bauchi,NG025,Lagos,2020-07-10,2020-07-11,1,1,1,2098614.715718779,824916.8025014298,33310,20200710,20200711,0.48096824368540303,0.4930077633721537,0.026023992942443307,0.5108444763587695,6690134.0,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,-0.4833208988736141,0.08108108108108109,1.1187153694407612,1.0,0.0,224.0
99563,NG001,Abia,NG033,Rivers,2020-07-10,2020-07-12,1,1,1,987201.7456146864,51688.54985473192,156815,20200710,20200712,0.3534586567540875,0.5993948920037422,0.0471464512421703,0.5005799209430734,3878977.0,0.3607179556377358,0.6064986277483454,0.03278341661391882,0.5155672987437575,7840763.0,0.40455051037529577,0.918918918918919,0.1614581709475816,0.8648648648648649,1.0,11.0
99564,NG027,Niger,NG025,Lagos,2020-07-10,2020-07-14,8,8,8,8835083.689581066,4188155.0645880457,2598474,20200710,20200714,0.471202827926769,0.5035993963032889,0.025197775769942192,0.5093248027202903,5745269.0,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,-0.2021904684270313,0.4594594594594595,1.1187153694407612,1.0,10.0,128.0
99565,NG025,Lagos,NG008,Borno,2020-07-10,2020-07-11,4,4,4,12268759.61846316,4921177.319890492,248907,20200710,20200711,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,0.4656333169168363,0.5077319274989265,0.026634755584237252,0.5216485478678367,6594992.0,1.1187153694407612,1.0,-0.21159417396202837,0.40540540540540543,224.0,0.0
99566,NG027,Niger,NG025,Lagos,2020-07-10,2020-07-15,8,8,8,6104178.916338922,4119818.0114137735,3531493,20200710,20200715,0.471202827926769,0.5035993963032889,0.025197775769942192,0.5093248027202903,5745269.0,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,-0.2021904684270313,0.4594594594594595,1.1187153694407612,1.0,10.0,230.0
99567,NG011,Ebonyi,NG011,Ebonyi,2020-07-10,2020-07-10,68,33,21,9313205.828724844,1497721.0601177737,423785,20200710,20200710,0.407884931714409,0.5547080871017148,0.03740698118387615,0.4891615626926456,2983133.0,0.407884931714409,0.5547080871017148,0.03740698118387615,0.4891615626926456,2983133.0,-0.13893827298680297,0.5675675675675675,-0.13893827298680297,0.5675675675675675,5.0,5.0
99568,NG002,Adamawa,NG002,Adamawa,2020-07-10,2020-07-10,288,176,127,31096038.391363773,6130721.792778257,3100992,20200710,20200710,0.4474419886826158,0.5186029019248742,0.03395510939250998,0.5068342598449392,4396599.0,0.4474419886826158,0.5186029019248742,0.03395510939250998,0.5068342598449392,4396599.0,-0.25839416341831756,0.35135135135135137,-0.25839416341831756,0.35135135135135137,0.0,0.0
99569,NG020,Kano,NG020,Kano,2020-07-10,2020-07-11,358,358,358,49780393.6660567,30112908.42031152,14207969,20200710,20200711,0.4727684792901625,0.5011033541407554,0.026128166569082133,0.5280232410357527,13612130.0,0.4727684792901625,0.5011033541407554,0.026128166569082133,0.5280232410357527,13612130.0,0.1241609281772341,0.8378378378378378,0.1241609281772341,0.8378378378378378,1.0,0.0
99570,NG033,Rivers,NG033,Rivers,2020-07-10,2020-07-10,1575,750,488,110813581.99897017,39855267.07835048,10613468,20200710,20200710,0.3607179556377358,0.6064986277483454,0.03278341661391882,0.5155672987437575,7840763.0,0.3607179556377358,0.6064986277483454,0.03278341661391882,0.5155672987437575,7840763.0,0.1614581709475816,0.8648648648648649,0.1614581709475816,0.8648648648648649,49.0,49.0
99571,NG025,Lagos,NG024,Kwara,2020-07-10,2020-07-10,29,29,28,18279785.73592193,8926243.829683369,593204,20200710,20200710,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,0.43856274012514257,0.5300045253998054,0.03143273447505214,0.5069599109955376,3378707.0,1.1187153694407612,1.0,-0.15738931235438808,0.5405405405405406,224.0,0.0
99572,NG031,Oyo,NG019,Kaduna,2020-07-10,2020-07-10,1,1,1,2626628.126461409,527808.2815613124,4828,20200710,20200710,0.37711239812688285,0.5836282165130016,0.039259385360115584,0.5019705838533485,8470586.0,0.46503701110532975,0.5075057258770135,0.027457263017656792,0.506968163107597,8758047.0,-0.019245055859069864,0.6486486486486487,-0.1703334579739599,0.5135135135135135,85.0,39.0
99573,NG010,Delta,NG010,Delta,2020-07-10,2020-07-10,1283,603,369,63950338.48412548,18079585.53890874,8680074,20200710,20200710,0.37205747147343576,0.5865213978831537,0.041421130643410485,0.5024198117756394,5827726.0,0.37205747147343576,0.5865213978831537,0.041421130643410485,0.5024198117756394,5827726.0,0.04986988030496243,0.7297297297297297,0.04986988030496243,0.7297297297297297,11.0,11.0
99574,NG025,Lagos,NG002,Adamawa,2020-07-10,2020-07-13,2,2,2,4360878.298846468,2267428.1994973235,566452,20200710,20200713,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,0.4474419886826158,0.5186029019248742,0.03395510939250998,0.5068342598449392,4396599.0,1.1187153694407612,1.0,-0.25839416341831756,0.35135135135135137,224.0,0.0
99575,NG020,Kano,NG025,Lagos,2020-07-10,2020-07-11,7,7,7,12267346.567005975,5873447.558293998,348951,20200710,20200711,0.4727684792901625,0.5011033541407554,0.026128166569082133,0.5280232410357527,13612130.0,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,0.1241609281772341,0.8378378378378378,1.1187153694407612,1.0,1.0,224.0
99576,NG014,Enugu,NG025,Lagos,2020-07-10,2020-07-13,2,2,2,1622057.6103982942,1087296.2670922508,489374,20200710,20200713,0.3548333037798759,0.5979631440077704,0.04720355221235371,0.48606967776766996,4415727.0,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,0.11263773985257676,0.7837837837837838,1.1187153694407612,1.0,30.0,156.0
99577,NG017,Imo,NG010,Delta,2020-07-10,2020-07-10,3,3,3,4614810.088860911,1706872.9507981003,40047,20200710,20200710,0.36002907241370796,0.5951188700839131,0.044852057502378986,0.5015110336551765,5547527.0,0.37205747147343576,0.5865213978831537,0.041421130643410485,0.5024198117756394,5827726.0,0.5387774131767987,0.972972972972973,0.04986988030496243,0.7297297297297297,0.0,11.0
99578,NG006,Bayelsa,NG006,Bayelsa,2020-07-10,2020-07-10,86,38,34,15022388.897589162,2812386.0560500287,700088,20200710,20200710,0.37835323397591747,0.5884318304151591,0.03321493560892341,0.5125803164505587,2537774.0,0.37835323397591747,0.5884318304151591,0.03321493560892341,0.5125803164505587,2537774.0,-0.10448904236851947,0.6216216216216216,-0.10448904236851947,0.6216216216216216,0.0,0.0
99579,NG028,Ogun,NG012,Edo,2020-07-10,2020-07-10,8,8,8,9419160.711531214,4290035.420235386,89036,20200710,20200710,0.3764942420253995,0.5828607691591555,0.040644988815445024,0.4983858197437503,5854055.0,0.3648963025856633,0.5925314188027963,0.04257227861154045,0.5050509097282766,4393070.0,0.11933543982440241,0.8108108108108109,0.048192548470072316,0.7027027027027027,0.0,31.0
99580,NG019,Kaduna,NG021,Katsina,2020-07-10,2020-07-10,5,5,5,2124906.350530465,1157454.697183046,135158,20200710,20200710,0.46503701110532975,0.5075057258770135,0.027457263017656792,0.506968163107597,8758047.0,0.48655803853244695,0.4881893734794351,0.02525258798811795,0.509826765221673,8050462.0,-0.1703334579739599,0.5135135135135135,-0.4045410794272394,0.16216216216216217,39.0,9.0
99581,NG011,Ebonyi,NG011,Ebonyi,2020-07-10,2020-07-11,11,11,11,1126493.6817829518,1027870.7081718212,329084,20200710,20200711,0.407884931714409,0.5547080871017148,0.03740698118387615,0.4891615626926456,2983133.0,0.407884931714409,0.5547080871017148,0.03740698118387615,0.4891615626926456,2983133.0,-0.13893827298680297,0.5675675675675675,-0.13893827298680297,0.5675675675675675,5.0,0.0
99582,NG025,Lagos,NG004,Anambra,2020-07-10,2020-07-10,57,57,52,54269466.01091556,26660827.652665824,767744,20200710,20200710,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,0.3550563739560004,0.6034760570706295,0.041467568973370096,0.5059823635153309,5936784.0,1.1187153694407612,1.0,0.5172892070039768,0.9459459459459459,224.0,0.0
99583,NG037,Zamfara,NG037,Zamfara,2020-07-10,2020-07-10,114,59,46,7885324.011577351,2573781.1693392973,1043966,20200710,20200710,0.4822951286895683,0.49170011989092705,0.026004751419504635,0.5030233221454106,4568319.0,0.4822951286895683,0.49170011989092705,0.026004751419504635,0.5030233221454106,4568319.0,-0.4763162522559063,0.10810810810810811,-0.4763162522559063,0.10810810810810811,0.0,0.0
