,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new cases_1,new cases_2
173162,NG015,Federal Capital Territory,NG015,Federal Capital Territory,2020-12-09,2020-12-10,762,762,762,20566022.6210492,4541753.592086348,33457089,20201209,20201210,0.3761808011877354,0.6090082893686061,0.014810909443658583,0.5320270119615359,4834747.0,0.3761808011877354,0.6090082893686061,0.014810909443658583,0.5320270119615359,4834747.0,0.06716322463290017,0.7567567567567568,0.06716322463290017,0.7567567567567568,180.0,183.0
173163,NG032,Plateau,NG032,Plateau,2020-12-09,2020-12-10,61,61,61,1382625.3217996466,243866.6175795176,2904877,20201209,20201210,0.44148344424442243,0.5246600953608579,0.033856460394719665,0.49981152163639675,4350632.0,0.44148344424442243,0.5246600953608579,0.033856460394719665,0.49981152163639675,4350632.0,-0.20435074060739566,0.43243243243243246,-0.20435074060739566,0.43243243243243246,16.0,42.0
173164,NG017,Imo,NG017,Imo,2020-12-09,2020-12-09,1260,572,396,17228099.16283123,3907622.4670981015,11698800,20201209,20201209,0.36002907241370796,0.5951188700839131,0.044852057502378986,0.5015110336551765,5547527.0,0.36002907241370796,0.5951188700839131,0.044852057502378986,0.5015110336551765,5547527.0,0.5387774131767987,0.972972972972973,0.5387774131767987,0.972972972972973,0.0,0.0
173165,NG031,Oyo,NG025,Lagos,2020-12-09,2020-12-09,11,11,11,2747315.976086072,1451675.5273882742,318452,20201209,20201209,0.37711239812688285,0.5836282165130016,0.039259385360115584,0.5019705838533485,8470586.0,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,-0.019245055859069864,0.6486486486486487,1.1187153694407612,1.0,0.0,134.0
173166,NG022,Kebbi,NG022,Kebbi,2020-12-09,2020-12-10,20,20,20,80877.1948501202,32376.09553236284,828547,20201209,20201210,0.4855904279683244,0.48801456343612665,0.026395008595548938,0.5032996532071795,4510474.0,0.4855904279683244,0.48801456343612665,0.026395008595548938,0.5032996532071795,4510474.0,-0.4166000362854463,0.13513513513513514,-0.4166000362854463,0.13513513513513514,45.0,0.0
173167,NG034,Sokoto,NG034,Sokoto,2020-12-09,2020-12-10,24,24,24,159278.38939188706,47942.39720300348,691868,20201209,20201210,0.476871893107996,0.4955998750778277,0.02752823181417628,0.505624481563039,5027130.0,0.476871893107996,0.4955998750778277,0.02752823181417628,0.505624481563039,5027130.0,-0.3255636908120886,0.2702702702702703,-0.3255636908120886,0.2702702702702703,2.0,5.0
173168,NG028,Ogun,NG031,Oyo,2020-12-09,2020-12-10,7,7,7,1373768.689965391,425067.5545972837,150942,20201209,20201210,0.3764942420253995,0.5828607691591555,0.040644988815445024,0.4983858197437503,5854055.0,0.37711239812688285,0.5836282165130016,0.039259385360115584,0.5019705838533485,8470586.0,0.11933543982440241,0.8108108108108109,-0.019245055859069864,0.6486486486486487,5.0,0.0
173169,NG015,Federal Capital Territory,NG027,Niger,2020-12-09,2020-12-09,9,9,9,646484.2031406999,346990.1737655968,126022,20201209,20201209,0.3761808011877354,0.6090082893686061,0.014810909443658583,0.5320270119615359,4834747.0,0.471202827926769,0.5035993963032889,0.025197775769942192,0.5093248027202903,5745269.0,0.06716322463290017,0.7567567567567568,-0.2021904684270313,0.4594594594594595,180.0,0.0
173170,NG008,Borno,NG008,Borno,2020-12-09,2020-12-10,52,52,52,594166.6844898345,246400.04282387695,2364151,20201209,20201210,0.4656333169168363,0.5077319274989265,0.026634755584237252,0.5216485478678367,6594992.0,0.4656333169168363,0.5077319274989265,0.026634755584237252,0.5216485478678367,6594992.0,-0.21159417396202837,0.40540540540540543,-0.21159417396202837,0.40540540540540543,0.0,0.0
173171,NG029,Ondo,NG028,Ogun,2020-12-09,2020-12-09,3,3,3,971479.7312921708,699152.5769019505,67740,20201209,20201209,0.37893516274736494,0.5832181604477588,0.03784667680487627,0.5035690220992856,4673409.0,0.3764942420253995,0.5828607691591555,0.040644988815445024,0.4983858197437503,5854055.0,-0.23320407133660132,0.3783783783783784,0.11933543982440241,0.8108108108108109,0.0,5.0
