,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new cases_1,new cases_2
112529,NG025,Lagos,NG028,Ogun,2020-07-28,2020-07-28,1075,998,914,67125231.43515188,23509904.201605715,12599901,20200728,20200728,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,0.3764942420253995,0.5828607691591555,0.040644988815445024,0.4983858197437503,5854055.0,1.1187153694407612,1.0,0.11933543982440241,0.8108108108108109,212.0,8.0
112530,NG029,Ondo,NG029,Ondo,2020-07-28,2020-07-28,1131,531,350,26866647.09153193,4022237.541915192,9923988,20200728,20200728,0.37893516274736494,0.5832181604477588,0.03784667680487627,0.5035690220992856,4673409.0,0.37893516274736494,0.5832181604477588,0.03784667680487627,0.5035690220992856,4673409.0,-0.23320407133660132,0.3783783783783784,-0.23320407133660132,0.3783783783783784,5.0,5.0
112531,NG008,Borno,NG008,Borno,2020-07-28,2020-07-29,195,195,194,7462694.464919039,1842893.1475562493,8085608,20200728,20200729,0.4656333169168363,0.5077319274989265,0.026634755584237252,0.5216485478678367,6594992.0,0.4656333169168363,0.5077319274989265,0.026634755584237252,0.5216485478678367,6594992.0,-0.21159417396202837,0.40540540540540543,-0.21159417396202837,0.40540540540540543,0.0,1.0
112532,NG002,Adamawa,NG035,Taraba,2020-07-28,2020-07-28,1,1,1,95851.58603095768,95843.10494655784,4861,20200728,20200728,0.4474419886826158,0.5186029019248742,0.03395510939250998,0.5068342598449392,4396599.0,0.4572416308140842,0.515646300036468,0.027112069149447745,0.5130515216955309,3046503.0,-0.25839416341831756,0.35135135135135137,-0.3693491920970492,0.21621621621621623,0.0,0.0
112533,NG023,Kogi,NG023,Kogi,2020-07-28,2020-07-28,304,157,109,20901273.457813323,1739983.6397572868,2631701,20200728,20200728,0.45037839661721446,0.5217364067083422,0.02788519667444328,0.506811428561977,4836724.0,0.45037839661721446,0.5217364067083422,0.02788519667444328,0.506811428561977,4836724.0,-0.30831429069378413,0.2972972972972973,-0.30831429069378413,0.2972972972972973,0.0,0.0
112534,NG030,Osun,NG024,Kwara,2020-07-28,2020-07-29,3,3,3,503536.7611343999,211591.17638016667,99025,20200728,20200729,0.36641836172583325,0.5944391290481575,0.03914250922600927,0.5059847910635072,4828740.0,0.43856274012514257,0.5300045253998054,0.03143273447505214,0.5069599109955376,3378707.0,0.0026606813370417975,0.6756756756756757,-0.15738931235438808,0.5405405405405406,37.0,4.0
112535,NG012,Edo,NG010,Delta,2020-07-28,2020-07-28,13,12,12,2113378.511948118,947444.741543492,254452,20200728,20200728,0.3648963025856633,0.5925314188027963,0.04257227861154045,0.5050509097282766,4393070.0,0.37205747147343576,0.5865213978831537,0.041421130643410485,0.5024198117756394,5827726.0,0.048192548470072316,0.7027027027027027,0.04986988030496243,0.7297297297297297,28.0,10.0
112536,NG002,Adamawa,NG002,Adamawa,2020-07-28,2020-07-28,403,193,156,35563368.18907658,3158691.8132233154,3559095,20200728,20200728,0.4474419886826158,0.5186029019248742,0.03395510939250998,0.5068342598449392,4396599.0,0.4474419886826158,0.5186029019248742,0.03395510939250998,0.5068342598449392,4396599.0,-0.25839416341831756,0.35135135135135137,-0.25839416341831756,0.35135135135135137,0.0,0.0
112537,NG025,Lagos,NG028,Ogun,2020-07-28,2020-07-29,170,170,170,9159567.59820094,3982291.537622859,5707597,20200728,20200729,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,0.3764942420253995,0.5828607691591555,0.040644988815445024,0.4983858197437503,5854055.0,1.1187153694407612,1.0,0.11933543982440241,0.8108108108108109,212.0,10.0
112538,NG026,Nasarawa,NG015,Federal Capital Territory,2020-07-28,2020-07-28,89,86,84,8365266.794015321,2409814.784209591,976526,20200728,20200728,0.458082127493156,0.5146632772780603,0.02725459522878373,0.5071486116542824,2557000.0,0.3761808011877354,0.6090082893686061,0.014810909443658583,0.5320270119615359,4834747.0,-0.3814972133848704,0.1891891891891892,0.06716322463290017,0.7567567567567568,2.0,35.0
