,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new cases_1,new cases_2
146762,NG016,Gombe,NG016,Gombe,2020-10-03,2020-10-03,210,118,95,13620230.171108216,1536352.022727409,2286802,20201003,20201003,0.4747655452041227,0.4988770635927775,0.02635739120309983,0.5284934612057086,3392445.0,0.4747655452041227,0.4988770635927775,0.02635739120309983,0.5284934612057086,3392445.0,-0.25910296259332805,0.32432432432432434,-0.25910296259332805,0.32432432432432434,0.0,0.0
146763,NG023,Kogi,NG023,Kogi,2020-10-03,2020-10-05,2,2,2,554178.4001323141,77277.60699866875,289331,20201003,20201005,0.45037839661721446,0.5217364067083422,0.02788519667444328,0.506811428561977,4836724.0,0.45037839661721446,0.5217364067083422,0.02788519667444328,0.506811428561977,4836724.0,-0.30831429069378413,0.2972972972972973,-0.30831429069378413,0.2972972972972973,0.0,0.0
146764,NG019,Kaduna,NG021,Katsina,2020-10-03,2020-10-31,1,1,1,207546.3263429809,207546.3263429809,2390065,20201003,20201031,0.46503701110532975,0.5075057258770135,0.027457263017656792,0.506968163107597,8758047.0,0.48655803853244695,0.4881893734794351,0.02525258798811795,0.509826765221673,8050462.0,-0.1703334579739599,0.5135135135135135,-0.4045410794272394,0.16216216216216217,14.0,0.0
146765,NG002,Adamawa,NG002,Adamawa,2020-10-03,2020-10-04,85,85,85,3903006.184929209,424749.18812184455,3804513,20201003,20201004,0.4474419886826158,0.5186029019248742,0.03395510939250998,0.5068342598449392,4396599.0,0.4474419886826158,0.5186029019248742,0.03395510939250998,0.5068342598449392,4396599.0,-0.25839416341831756,0.35135135135135137,-0.25839416341831756,0.35135135135135137,0.0,0.0
146766,NG026,Nasarawa,NG015,Federal Capital Territory,2020-10-03,2020-10-03,95,91,85,6083169.1694936585,1747006.8842111998,1165342,20201003,20201003,0.458082127493156,0.5146632772780603,0.02725459522878373,0.5071486116542824,2557000.0,0.3761808011877354,0.6090082893686061,0.014810909443658583,0.5320270119615359,4834747.0,-0.3814972133848704,0.1891891891891892,0.06716322463290017,0.7567567567567568,0.0,18.0
146767,NG025,Lagos,NG028,Ogun,2020-10-03,2020-10-03,950,882,800,46824031.90715192,18946521.164631598,11694768,20201003,20201003,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,0.3764942420253995,0.5828607691591555,0.040644988815445024,0.4983858197437503,5854055.0,1.1187153694407612,1.0,0.11933543982440241,0.8108108108108109,32.0,11.0
146768,NG033,Rivers,NG033,Rivers,2020-10-03,2020-10-03,3155,1544,1047,58704991.87026,12480418.761316286,27327313,20201003,20201003,0.3607179556377358,0.6064986277483454,0.03278341661391882,0.5155672987437575,7840763.0,0.3607179556377358,0.6064986277483454,0.03278341661391882,0.5155672987437575,7840763.0,0.1614581709475816,0.8648648648648649,0.1614581709475816,0.8648648648648649,42.0,42.0
146769,NG013,Ekiti,NG029,Ondo,2020-10-03,2020-10-03,9,9,9,997725.2927343867,540310.498068839,189446,20201003,20201003,0.36629979561099096,0.5964268380769661,0.037273366312043005,0.5043048153321379,3510952.0,0.37893516274736494,0.5832181604477588,0.03784667680487627,0.5035690220992856,4673409.0,-0.12374139344950484,0.5945945945945946,-0.23320407133660132,0.3783783783783784,0.0,3.0
146770,NG024,Kwara,NG031,Oyo,2020-10-03,2020-10-04,2,2,2,810267.2957060032,287107.0923488764,129953,20201003,20201004,0.43856274012514257,0.5300045253998054,0.03143273447505214,0.5069599109955376,3378707.0,0.37711239812688285,0.5836282165130016,0.039259385360115584,0.5019705838533485,8470586.0,-0.15738931235438808,0.5405405405405406,-0.019245055859069864,0.6486486486486487,3.0,0.0
146771,NG020,Kano,NG020,Kano,2020-10-03,2020-10-04,452,452,452,11328864.067921756,2940542.3341240548,19191783,20201003,20201004,0.4727684792901625,0.5011033541407554,0.026128166569082133,0.5280232410357527,13612130.0,0.4727684792901625,0.5011033541407554,0.026128166569082133,0.5280232410357527,13612130.0,0.1241609281772341,0.8378378378378378,0.1241609281772341,0.8378378378378378,0.0,0.0
