,admin1Pcod_1,admin1Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,new cases,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
440,ZA7,Gauteng,2020-02-14,412396,162188,82910,28810498065.156403,6109281497.663395,1408146943,45.786172089212265,215.92104127002332,56.90917398972509,283.067370843887,4.974020021710288,20200214,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,,0,0,0,1,0,0,0,0,0
441,ZA6,North West,2020-02-14,35019,15055,7535,2932363335.586899,591075430.450767,145037687,48.74283276992548,241.81633734660608,69.02809284483662,320.80886308338864,4.647511612475116,20200214,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,,0,0,0,1,0,0,0,0,0
442,ZA1,Western Cape,2020-02-14,222004,86987,43203,19399213490.43371,3043647680.178665,766787083,43.77554771157125,279.0110042130724,57.56556060551462,295.8078077139705,5.138624632548666,20200214,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,,0,0,0,1,0,0,0,0,0
443,ZA2,Eastern Cape,2020-02-14,48450,18923,9399,5139941218.826288,705083794.72601,192852293,46.61333739292738,339.80331983954744,66.34065806673547,341.9730698301238,5.154803702521545,20200214,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,,0,0,0,1,0,0,0,0,0
444,ZA5,KwaZulu-Natal,2020-02-14,96891,38538,19498,8749287223.067358,1546126100.503563,408589877,49.27265455016714,278.82629156960905,70.28342450107165,349.2579384210346,4.969278900400041,20200214,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,,0,0,0,1,0,0,0,0,0
445,ZA4,Free State,2020-02-14,36457,15164,7384,3265195476.547495,615533676.8647856,132102721,51.79779180060965,274.7695566292344,60.39202393687541,298.17335003611413,4.937296858071506,20200214,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,,0,0,0,1,0,0,0,0,0
446,ZA8,Mpumalanga,2020-02-14,38830,15901,8255,3462626618.224192,676056087.990551,162898900,50.888162012598016,260.6391798956625,69.91969267748304,328.8893599838482,4.7038158691702,20200214,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,,0,0,0,1,0,0,0,0,0
447,ZA9,Limpopo,2020-02-14,27906,11226,5852,2800371792.979854,521212436.02477807,142795164,55.342855909371416,297.34626789331725,85.28343008671969,406.6847915242652,4.768626110731374,20200214,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,,0,0,0,1,0,0,0,0,0
449,ZA3,Nothern Cape,2020-02-14,10863,4608,2221,1191978968.5002472,214493470.0769422,50673875,60.00903342135637,333.4810413231996,77.74690079474671,380.2632072639952,4.891040072039622,20200214,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,,0,0,0,1,0,0,0,0,0
