,admin1Pcod_1,admin1Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,new cases,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
3016,ZA5,KwaZulu-Natal,2020-10-29,47741,21171,14614,3185675326.4864745,704311391.6922401,394826972,29.946545036413244,135.451407944434,137.83644107440844,450.28394233839697,3.266798959901464,20201029,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,183.0,1,1,1,0,1,0,0,0,0
3017,ZA1,Western Cape,2020-10-29,87165,39373,26198,5893503635.220803,1244891735.167799,589839670,29.52667614656152,139.7837002928549,112.78220807281213,375.2447196987047,3.3271623788075426,20201029,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,284.0,1,1,1,0,1,0,0,0,0
3018,ZA9,Limpopo,2020-10-29,16111,7242,4959,1216428319.0376964,295123047.77242,146293435,36.97942328111802,152.4205514966141,151.33907992468912,491.6765308866035,3.2488404920346845,20201029,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,65.0,1,1,1,0,1,0,0,0,0
3019,ZA3,Nothern Cape,2020-10-29,5754,2611,1787,617485635.7281089,137620040.3102131,55272270,47.85289788657362,214.71056836138956,160.0981056656239,515.5033575825406,3.2199216564073865,20201029,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,131.0,1,1,1,0,1,0,0,0,0
3020,ZA2,Eastern Cape,2020-10-29,22243,9887,6766,1700268374.8275309,349496953.72580963,194957167,32.09685764409144,156.14806195536758,146.08128924455636,480.2373805301015,3.287466745492167,20201029,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,509.0,1,1,1,0,1,0,0,0,0
3021,ZA4,Free State,2020-10-29,17328,8056,5375,1261831730.2795763,321787231.4169433,132306745,37.19987267577618,145.87272309706387,127.25718009387504,410.25347286821705,3.223813953488372,20201029,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,349.0,1,1,1,0,1,0,0,0,0
3022,ZA8,Mpumalanga,2020-10-29,20892,9424,6527,1594644961.453451,365063653.1418038,176002391,34.75410408997077,151.81039388594883,140.40652801710385,449.4213548848373,3.2008579745671826,20201029,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,99.0,1,1,1,0,1,0,0,0,0
3023,ZA7,Gauteng,2020-10-29,181415,81642,55237,8964094344.088766,2460325202.7174883,1278453390,27.676651601356447,100.83874920640837,117.45201058346883,385.7478954324095,3.2843021887502943,20201029,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,295.0,1,1,1,0,1,0,0,0,0
3024,ZA6,North West,2020-10-29,16372,7765,5348,1132311493.3232317,281559970.0367187,134916647,32.71377230142557,131.56053526370465,137.34490491896733,420.4582616554475,3.06133133881825,20201029,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,141.0,1,1,1,0,1,0,0,0,0
