,admin1Pcod_1,admin1Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,new cases,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
3486,ZA8,Mpumalanga,2020-12-15,14333,6877,5190,1087376438.0166895,289802876.6887242,163819605,34.696562428108216,130.18581766882772,190.4923428451825,526.0745183044315,2.7616570327552985,20201215,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,67.0,1,1,1,0,1,0,0,0,0
3487,ZA9,Limpopo,2020-12-15,10983,5126,3858,846231952.1484936,225577112.8288035,142596377,36.33154990665869,136.29449378326493,216.38953685999573,616.0202911698635,2.8468118195956453,20201215,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,58.0,1,1,1,0,1,0,0,0,0
3489,ZA6,North West,2020-12-15,11244,5634,4180,759518910.8612959,219327554.6353775,121047665,32.60378567327357,112.9050648728911,179.42556771018616,482.646192185008,2.689952153110048,20201215,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,152.0,1,1,1,0,1,0,0,0,0
3490,ZA4,Free State,2020-12-15,12381,6110,4525,1060271228.598874,292235140.7672099,134138071,40.12961278058924,145.59602152694478,180.569785693132,494.062876611418,2.7361325966850827,20201215,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,67.0,1,1,1,0,1,0,0,0,0
3491,ZA3,Nothern Cape,2020-12-15,4164,1985,1486,515588933.9554225,120767898.28563564,56132998,50.49912041840007,215.5936141293788,224.6757845020813,629.576020637057,2.8021534320323016,20201215,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,36.0,1,1,1,0,1,0,0,0,0
3492,ZA7,Gauteng,2020-12-15,111967,55181,41900,6316518475.467121,1926784573.6122663,1102548730,28.57394815489158,93.67309345799886,164.11810771626162,438.5635361972952,2.6722434367541767,20201215,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,1278.0,1,1,1,0,1,0,0,0,0
3493,ZA5,KwaZulu-Natal,2020-12-15,30044,14692,11256,2039219261.5384283,491963826.8289612,339728441,27.158151173983025,112.5721485230516,188.46161241290557,503.03310974887467,2.6691542288557213,20201215,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,1152.0,1,1,1,0,1,0,0,0,0
3494,ZA2,Eastern Cape,2020-12-15,15125,7228,5504,1086578300.6313353,250749644.0881485,176553061,28.30824950947311,122.6686871588861,194.54882754820937,534.620460876938,2.748001453488372,20201215,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,1956.0,1,1,1,0,1,0,0,0,0
3495,ZA1,Western Cape,2020-12-15,56032,28208,21041,3950950746.681688,931659384.5462924,538402276,27.513250441263747,116.67729556278626,160.14725989910528,426.4707602617112,2.662991302694739,20201215,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,2786.0,1,1,1,0,1,0,0,0,0
