,admin1Pcod_1,admin1Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,new cases,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
3096,ZA9,Limpopo,2020-11-06,13392,6532,4587,1017623121.7923634,271999506.2483743,164708853,36.84601209625431,137.85081587887476,204.98413605137395,598.4625136254633,2.9195552648790057,20201106,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,59.0,1,1,1,0,1,0,0,0,0
3098,ZA6,North West,2020-11-06,14104,7226,5092,953831628.1428468,265953496.387478,141249957,32.45401436173895,116.39503063095012,166.9147724049915,462.3263845247447,2.769835035349568,20201106,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,86.0,1,1,1,0,1,0,0,0,0
3099,ZA3,Nothern Cape,2020-11-06,4784,2392,1684,445333505.5702714,123933469.50656831,58906083,45.72962452815061,164.3215031469305,205.2190739966555,582.9976543942993,2.840855106888361,20201106,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,74.0,1,1,1,0,1,0,0,0,0
3100,ZA1,Western Cape,2020-11-06,68990,34770,24150,4262745325.044812,1100936601.978148,583703084,28.32672003929114,109.6789708002988,141.01151954389525,402.8316659765356,2.8567287784679087,20201106,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,293.0,1,1,1,0,1,0,0,0,0
3101,ZA4,Free State,2020-11-06,15575,7748,5363,1151342120.7301002,315912753.97609204,158110922,36.602477080198376,133.39750628959965,169.19306795077583,491.363422213935,2.9041581204549693,20201106,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,106.0,1,1,1,0,1,0,0,0,0
3102,ZA5,KwaZulu-Natal,2020-11-06,38718,18670,13038,2256682070.224266,630193349.5692154,384406243,30.034053762989902,107.55002519373116,165.4726668905074,491.39213964309454,2.969627243442246,20201106,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,120.0,1,1,1,0,1,0,0,0,0
3103,ZA2,Eastern Cape,2020-11-06,17692,8680,6067,1204386375.36768,309521313.5138611,192819202,31.700614405962337,123.35107927750398,181.64443628005125,529.6939783528377,2.91610351079611,20201106,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,684.0,1,1,1,0,1,0,0,0,0
3104,ZA8,Mpumalanga,2020-11-06,17786,8705,6128,1356828512.0379505,359219405.42147464,177688768,36.424378299857686,137.5806380852854,166.50621087746916,483.27014795474327,2.9024151436031334,20201106,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,87.0,1,1,1,0,1,0,0,0,0
3105,ZA7,Gauteng,2020-11-06,154865,76503,53122,8221755919.781941,2620599131.5570908,1280902827,30.65330384307352,96.1703677978853,137.851551028315,401.874561386996,2.9152705093934714,20201106,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,252.0,1,1,1,0,1,0,0,0,0
