,admin1Pcod_1,admin1Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,new cases,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
1946,ZA8,Mpumalanga,2020-07-14,20605,9425,6087,1264294748.2104218,320354917.39638084,157126533,32.70236848392998,129.06133317478393,127.0941785974278,430.2243387547232,3.385082963693117,20200714,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,277.0,1,1,3,0,0,0,1,0,0
1947,ZA7,Gauteng,2020-07-14,153598,72570,48766,6759888023.785829,1976761320.979548,967432930,25.18768278689474,86.13377518620916,104.97455804546068,330.6377838384667,3.1496944592543987,20200714,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,3357.0,1,1,3,0,0,0,1,0,0
1948,ZA3,Nothern Cape,2020-07-14,5988,2720,1746,480203167.59643686,114093785.12838323,52569295,40.60400417645687,170.89599929297952,146.31845635715874,501.8069396716304,3.429553264604811,20200714,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,57.0,1,1,3,0,0,0,1,0,0
1949,ZA4,Free State,2020-07-14,16381,7614,4854,1009708758.843864,267479398.20697388,111397512,34.240624755416555,129.2550340534179,113.3401623832489,382.4938607334158,3.3747424804285124,20200714,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,341.0,1,1,3,0,0,0,1,0,0
1950,ZA9,Limpopo,2020-07-14,16966,7525,4703,1081174414.6566124,261869133.9670379,139711624,34.5987531327358,142.84725389149074,137.24667373963615,495.1152597632717,3.6074845843078887,20200714,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,142.0,1,1,3,0,0,0,1,0,0
1951,ZA1,Western Cape,2020-07-14,77491,37807,25351,3840188116.9403367,1220822212.9959004,586019051,29.923228038305517,94.1257650048858,126.04023929660649,385.270174089122,3.0567236006469174,20200714,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,855.0,1,1,3,0,0,0,1,0,0
1952,ZA6,North West,2020-07-14,15658,7338,4657,879771233.3497219,237380916.6935092,113511680,31.673107842009244,117.3855486713821,120.82394516115298,406.2403550211152,3.362250375778398,20200714,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,259.0,1,1,3,0,0,0,1,0,0
1953,ZA5,KwaZulu-Natal,2020-07-14,42797,20079,13086,2127931616.9244664,564512886.9438975,328876379,26.805138743211742,101.0419842433038,128.07610307576076,418.8654274288044,3.2704416934128075,20200714,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,3200.0,1,1,3,0,0,0,1,0,0
1955,ZA2,Eastern Cape,2020-07-14,19053,9017,5992,1332610284.22108,427514847.5421398,172577459,44.333346214356055,138.19186266591873,150.9626296821148,480.0218597018247,3.179739652870494,20200714,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,1901.0,1,1,3,0,0,0,1,0,0
