,admin1Pcod_1,admin1Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,new cases,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
411,ZA9,Limpopo,2020-02-11,25740,10421,5626,2089492744.0263183,382788231.0766763,133119123,42.27756479177648,230.7768570079794,86.19471833721833,394.3569232136509,4.57518663348738,20200211,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,,0,0,0,1,0,0,0,0,0
412,ZA3,Nothern Cape,2020-02-11,10657,4426,2209,1095179256.4146626,179566506.31380096,48683339,50.51039117885888,308.0637574793915,76.13671608645335,367.3105402142749,4.824354911724762,20200211,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,,0,0,0,1,0,0,0,0,0
413,ZA1,Western Cape,2020-02-11,200072,78896,42131,16626247972.62944,2675686016.842623,683966276,39.462491047880754,245.2130622388814,56.97667806256414,270.5712642314052,4.748807291543044,20200211,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,,0,0,0,1,0,0,0,0,0
414,ZA6,North West,2020-02-11,33229,13937,7118,2304883228.4009423,431801598.15238327,136110589,37.69444701516333,201.2065242482901,68.26897639611985,318.70045190596613,4.668305703849396,20200211,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,,0,0,0,1,0,0,0,0,0
415,ZA4,Free State,2020-02-11,33340,13791,7055,2326072663.071552,451295451.0275962,137394596,39.74797908664816,204.8695313796514,68.68356128774245,324.5797212378928,4.7257264351523744,20200211,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,,0,0,0,1,0,0,0,0,0
416,ZA8,Mpumalanga,2020-02-11,35870,14541,7942,2722898133.1942763,517144791.6780312,154121396,40.46069954221933,213.0358170944017,71.61109376452004,323.43111726685134,4.516494585746663,20200211,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,,0,0,0,1,0,0,0,0,0
417,ZA2,Eastern Cape,2020-02-11,44239,17627,9133,3260654894.8104134,567958041.7829084,180729503,38.64149409432031,221.84134670566576,68.08830180007082,329.8104000145991,4.843862914704916,20200211,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,,0,0,0,1,0,0,0,0,0
418,ZA5,KwaZulu-Natal,2020-02-11,87128,34900,19171,6405759814.090435,1164071717.1668303,375997831,37.72993744435418,207.62373443572983,71.92441599332783,326.88073218228925,4.544781179907152,20200211,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,,0,0,0,1,0,0,0,0,0
419,ZA7,Gauteng,2020-02-11,372968,146618,81306,24710040372.990044,5139680842.243135,1283003292,39.27938421105456,188.84347092216416,57.33303715064027,262.9988955304651,4.587213735763658,20200211,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,,0,0,0,1,0,0,0,0,0
