,admin1Pcod_1,admin1Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,new cases,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
929,ZA2,Eastern Cape,2020-04-03,3966,1968,1173,125800783.03138807,43325949.099431485,37365555,22.950977533442277,66.64022381637152,157.02452092788704,530.9115515771526,3.3810741687979537,20200403,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,4.0,1,1,5,0,0,0,0,0,1
930,ZA5,KwaZulu-Natal,2020-04-03,7839,4112,2345,236823735.0826257,73525716.37565763,63032924,19.48262773750381,62.75285570080582,134.01565675894034,447.9951954513148,3.342857142857143,20200403,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,9.0,1,1,5,0,0,0,0,0,1
931,ZA4,Free State,2020-04-03,2151,1056,638,93801203.0714044,24803333.803781763,17464146,24.156860653787525,91.35637207801696,135.31803812180382,456.2211598746081,3.371473354231975,20200403,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,0.0,1,1,5,0,0,0,0,0,1
932,ZA8,Mpumalanga,2020-04-03,3194,1537,860,150386783.17645445,40618966.17307387,31189336,29.34820399815215,108.65815669661735,162.74961385931957,604.444496124031,3.713953488372093,20200403,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0,1,1,5,0,0,0,0,0,1
933,ZA6,North West,2020-04-03,2188,1122,688,144915999.05116376,32375905.86752656,22459010,29.240487250971903,130.88172544285754,171.0771633150518,544.0651647286821,3.1802325581395348,20200403,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,0.0,1,1,5,0,0,0,0,0,1
934,ZA3,Nothern Cape,2020-04-03,1212,589,327,50201489.63868282,12804868.249068957,9308811,24.33203746289285,95.39375984366517,128.00895214521452,474.4551987767584,3.706422018348624,20200403,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,0.0,1,1,5,0,0,0,0,0,1
936,ZA1,Western Cape,2020-04-03,14569,7940,4129,463523615.7457544,131460545.38054152,97763245,19.78343323208458,69.75544241852732,111.8393449561855,394.62034794542666,3.5284572535722933,20200403,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,21.0,1,1,5,0,0,0,0,0,1
937,ZA7,Gauteng,2020-04-03,21244,11075,6373,951924913.6124,276436162.18122023,157200572,26.95268596768521,92.81323058085016,123.32938869013996,411.11086353888805,3.3334379413149224,20200403,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,9.0,1,1,5,0,0,0,0,0,1
938,ZA9,Limpopo,2020-04-03,2660,1300,790,118377705.62165947,33863531.36248127,36355715,26.635218805153592,93.10948870436796,227.7927005012531,766.9982067510549,3.367088607594937,20200403,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,0.0,1,1,5,0,0,0,0,0,1
